nExp,  A0x,  A0y,  A1x,  A1y 
   0,   11,   63,    1,   25
   1,   10,   48,   11,   57
   2,    1,   43,   11,   60
   3,    1,   52,   10,   43
   4,   11,   65,   11,   64
   5,    1,   51,   11,   62
   6,    1,   17,    1,   44
   7,   11,   65,    1,   58
   8,    1,   55,   10,   36
   9,   10,   47,   11,   62
  10,    0,   41,   11,   56
  11,    1,   59,    0,   45
  12,    0,   64,   11,   59
  13,    0,   33,   10,   63
  14,    0,   44,   10,   52
  15,   11,   60,   11,   61
  16,   10,   49,   10,   47
  17,   10,   44,    0,   26
  18,   10,   55,    1,   16
  19,   11,   64,   11,   64
  20,   11,   65,   10,   47
  21,   10,   44,   11,   64
  22,   11,   61,   11,   60
  23,    1,   47,   11,   65
  24,   11,   54,   10,   50
  25,   10,   61,    0,   53
  26,    0,   28,   11,   57
  27,   11,   55,    0,   51
  28,    0,   45,   11,   60
  29,   10,   36,   10,   54
  30,   10,   47,    1,   64
  31,    0,   19,   11,   56
  32,    0,   28,   11,   65
  33,    0,   38,    0,   30
  34,    0,   49,    1,   21
  35,   10,   37,    0,   65
  36,    0,   35,   10,   61
  37,   11,   56,   10,   64
  38,    0,   50,   11,   58
  39,    1,   44,    1,   21
  40,    1,   34,   10,   51
  41,    1,   31,   11,   57
  42,   10,   36,   10,   46
  43,    0,   31,    0,   63
  44,    1,   27,    1,   63
  45,   10,   54,   10,   47
  46,    1,   47,    0,   27
  47,    1,   24,   10,   47
  48,   11,   60,    1,   33
  49,   10,   48,   10,   37
  50,    1,   25,    0,   43
  51,    1,   42,   11,   64
  52,    1,   28,    1,   55
  53,   11,   63,    0,   65
  54,   10,   38,   10,   65
  55,    1,   48,    1,   23
  56,   10,   36,   11,   60
  57,    0,   23,   10,   62
  58,    1,   64,    0,   58
  59,    1,   16,    1,   36
  60,   11,   64,    0,   43
  61,   10,   46,   11,   57
  62,    0,   19,   10,   52
  63,   11,   65,   11,   54
  64,   10,   57,   10,   57
  65,   11,   61,    1,   41
  66,    0,   46,    0,   25
  67,    1,   54,   10,   46
  68,   10,   37,    0,   65
  69,    1,   33,   10,   44
  70,    1,   24,    0,   26
  71,   10,   38,    1,   29
  72,    1,   17,   11,   59
  73,   11,   65,    1,   37
  74,   10,   48,    1,   51
  75,   11,   65,   10,   47
  76,   11,   61,    0,   22
  77,   10,   37,    0,   36
  78,   10,   49,    1,   43
  79,   10,   48,    1,   65
  80,    1,   53,    1,   31
  81,    0,   59,   10,   63
  82,    1,   48,    0,   37
  83,    0,   20,   11,   56
  84,    0,   27,    1,   41
  85,    0,   65,   11,   55
  86,    1,   48,   11,   59
  87,   11,   57,    1,   38
  88,   10,   42,   10,   42
  89,    1,   63,   11,   63
  90,    0,   25,    1,   54
  91,   11,   60,   10,   60
  92,    0,   22,   11,   54
  93,    0,   19,    0,   58
  94,    1,   20,    0,   49
  95,   11,   60,   11,   60
  96,   10,   56,   11,   63
  97,   11,   62,   11,   56
  98,   10,   53,   11,   59
  99,   11,   58,   10,   61
 100,   11,   61,    0,   26
 101,   10,   43,    0,   59
 102,   11,   57,    1,   55
 103,    0,   48,    0,   31
 104,   11,   54,    0,   38
 105,    1,   58,   10,   56
 106,    0,   65,    1,   45
 107,    1,   14,    1,   20
 108,    0,   47,   10,   39
 109,   10,   46,    1,   53
 110,    1,   59,   10,   50
 111,   10,   46,    0,   50
 112,   10,   59,    0,   61
 113,   11,   65,   11,   62
 114,   11,   60,   11,   56
 115,   11,   59,   11,   59
 116,   11,   54,    0,   62
 117,    1,   60,   11,   61
 118,   10,   42,    0,   57
 119,   11,   63,   10,   48
 120,    1,   18,    1,   42
 121,   11,   65,    1,   17
 122,   11,   62,    0,   39
 123,   10,   36,   11,   65
 124,   10,   38,    0,   35
 125,    0,   34,    0,   64
 126,   11,   54,   11,   56
 127,    0,   50,   11,   55
 128,    0,   35,    0,   47
 129,   11,   56,    0,   34
 130,   11,   55,   11,   58
 131,    1,   27,   11,   65
 132,   10,   41,   11,   55
 133,   10,   40,   11,   65
 134,   11,   57,    0,   54
 135,    1,   34,    0,   24
 136,    0,   21,    0,   38
 137,   10,   58,    0,   38
 138,   10,   38,    1,   31
 139,   11,   54,    1,   34
 140,   10,   45,    0,   32
 141,    1,   63,   11,   57
 142,   10,   56,   11,   59
 143,    1,   53,    1,   25
 144,    1,   62,    0,   40
 145,   10,   50,    0,   18
 146,   10,   54,    0,   32
 147,   11,   61,   10,   40
 148,   10,   50,   10,   58
 149,    0,   54,    1,   65
 150,    0,   60,    0,   30
 151,   10,   53,    1,   17
 152,    1,   27,   11,   64
 153,   10,   37,   11,   57
 154,    1,   40,    0,   62
 155,    0,   37,    1,   40
 156,   10,   54,   10,   48
 157,   10,   48,   11,   63
 158,    1,   32,   10,   40
 159,   10,   47,   10,   40
 160,   10,   46,    1,   34
 161,    1,   49,    1,   47
 162,    0,   32,   10,   37
 163,   10,   36,    1,   59
 164,    0,   43,    0,   59
 165,   10,   58,   10,   36
 166,    0,   47,   11,   64
 167,   10,   57,    0,   54
 168,    1,   17,    1,   29
 169,    0,   38,   11,   59
 170,    1,   50,   10,   39
 171,   11,   59,   11,   58
 172,   11,   58,    0,   27
 173,   11,   61,    0,   36
 174,    0,   22,    0,   20
 175,   10,   41,   10,   54
 176,   10,   51,    1,   59
 177,    1,   36,   10,   51
 178,   11,   65,   11,   65
 179,   10,   50,   10,   42
 180,    1,   14,    0,   18
