nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y 
   0,   11,   63,    1,   25,   10,   48
   1,   11,   57,    1,   43,   11,   60
   2,    1,   52,   10,   43,   11,   65
   3,   11,   64,    1,   51,   11,   62
   4,    1,   17,    1,   44,   11,   65
   5,    1,   58,    1,   55,   10,   36
   6,   10,   47,   11,   62,    0,   41
   7,   11,   56,    1,   59,    0,   45
   8,    0,   64,   11,   59,    0,   33
   9,   10,   63,    0,   44,   10,   52
  10,   11,   60,   11,   61,   10,   49
  11,   10,   47,   10,   44,    0,   26
  12,   10,   55,    1,   16,   11,   64
  13,   11,   64,   11,   65,   10,   47
  14,   10,   44,   11,   64,   11,   61
  15,   11,   60,    1,   47,   11,   65
  16,   11,   54,   10,   50,   10,   61
  17,    0,   53,    0,   28,   11,   57
  18,   11,   55,    0,   51,    0,   45
  19,   11,   60,   10,   36,   10,   54
  20,   10,   47,    1,   64,    0,   19
  21,   11,   56,    0,   28,   11,   65
  22,    0,   38,    0,   30,    0,   49
  23,    1,   21,   10,   37,    0,   65
  24,    0,   35,   10,   61,   11,   56
  25,   10,   64,    0,   50,   11,   58
  26,    1,   44,    1,   21,    1,   34
  27,   10,   51,    1,   31,   11,   57
  28,   10,   36,   10,   46,    0,   31
  29,    0,   63,    1,   27,    1,   63
  30,   10,   54,   10,   47,    1,   47
  31,    0,   27,    1,   24,   10,   47
  32,   11,   60,    1,   33,   10,   48
  33,   10,   37,    1,   25,    0,   43
  34,    1,   42,   11,   64,    1,   28
  35,    1,   55,   11,   63,    0,   65
  36,   10,   38,   10,   65,    1,   48
  37,    1,   23,   10,   36,   11,   60
  38,    0,   23,   10,   62,    1,   64
  39,    0,   58,    1,   16,    1,   36
  40,   11,   64,    0,   43,   10,   46
  41,   11,   57,    0,   19,   10,   52
  42,   11,   65,   11,   54,   10,   57
  43,   10,   57,   11,   61,    1,   41
  44,    0,   46,    0,   25,    1,   54
  45,   10,   46,   10,   37,    0,   65
  46,    1,   33,   10,   44,    1,   24
  47,    0,   26,   10,   38,    1,   29
  48,    1,   17,   11,   59,   11,   65
  49,    1,   37,   10,   48,    1,   51
  50,   11,   65,   10,   47,   11,   61
  51,    0,   22,   10,   37,    0,   36
  52,   10,   49,    1,   43,   10,   48
  53,    1,   65,    1,   53,    1,   31
  54,    0,   59,   10,   63,    1,   48
  55,    0,   37,    0,   20,   11,   56
