nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y 
   0,   11,   63,    1,   25,   10,   48,   11,   57
   1,    1,   43,   11,   60,    1,   52,   10,   43
   2,   11,   65,   11,   64,    1,   51,   11,   62
   3,    1,   17,    1,   44,   11,   65,    1,   58
   4,    1,   55,   10,   36,   10,   47,   11,   62
   5,    0,   41,   11,   56,    1,   59,    0,   45
   6,    0,   64,   11,   59,    0,   33,   10,   63
   7,    0,   44,   10,   52,   11,   60,   11,   61
   8,   10,   49,   10,   47,   10,   44,    0,   26
   9,   10,   55,    1,   16,   11,   64,   11,   64
  10,   11,   65,   10,   47,   10,   44,   11,   64
  11,   11,   61,   11,   60,    1,   47,   11,   65
  12,   11,   54,   10,   50,   10,   61,    0,   53
  13,    0,   28,   11,   57,   11,   55,    0,   51
  14,    0,   45,   11,   60,   10,   36,   10,   54
  15,   10,   47,    1,   64,    0,   19,   11,   56
  16,    0,   28,   11,   65,    0,   38,    0,   30
  17,    0,   49,    1,   21,   10,   37,    0,   65
  18,    0,   35,   10,   61,   11,   56,   10,   64
  19,    0,   50,   11,   58,    1,   44,    1,   21
  20,    1,   34,   10,   51,    1,   31,   11,   57
  21,   10,   36,   10,   46,    0,   31,    0,   63
  22,    1,   27,    1,   63,   10,   54,   10,   47
  23,    1,   47,    0,   27,    1,   24,   10,   47
  24,   11,   60,    1,   33,   10,   48,   10,   37
  25,    1,   25,    0,   43,    1,   42,   11,   64
  26,    1,   28,    1,   55,   11,   63,    0,   65
  27,   10,   38,   10,   65,    1,   48,    1,   23
  28,   10,   36,   11,   60,    0,   23,   10,   62
  29,    1,   64,    0,   58,    1,   16,    1,   36
  30,   11,   64,    0,   43,   10,   46,   11,   57
  31,    0,   19,   10,   52,   11,   65,   11,   54
  32,   10,   57,   10,   57,   11,   61,    1,   41
  33,    0,   46,    0,   25,    1,   54,   10,   46
  34,   10,   37,    0,   65,    1,   33,   10,   44
  35,    1,   24,    0,   26,   10,   38,    1,   29
  36,    1,   17,   11,   59,   11,   65,    1,   37
  37,   10,   48,    1,   51,   11,   65,   10,   47
  38,   11,   61,    0,   22,   10,   37,    0,   36
  39,   10,   49,    1,   43,   10,   48,    1,   65
  40,    1,   53,    1,   31,    0,   59,   10,   63
  41,    1,   48,    0,   37,    0,   20,   11,   56
  42,    0,   27,    1,   41,    0,   65,   11,   55
