nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y 
   0,   11,   63,    1,   25,   10,   48,   11,   57,    1,   43
   1,   11,   60,    1,   52,   10,   43,   11,   65,   11,   64
   2,    1,   51,   11,   62,    1,   17,    1,   44,   11,   65
   3,    1,   58,    1,   55,   10,   36,   10,   47,   11,   62
   4,    0,   41,   11,   56,    1,   59,    0,   45,    0,   64
   5,   11,   59,    0,   33,   10,   63,    0,   44,   10,   52
   6,   11,   60,   11,   61,   10,   49,   10,   47,   10,   44
   7,    0,   26,   10,   55,    1,   16,   11,   64,   11,   64
   8,   11,   65,   10,   47,   10,   44,   11,   64,   11,   61
   9,   11,   60,    1,   47,   11,   65,   11,   54,   10,   50
  10,   10,   61,    0,   53,    0,   28,   11,   57,   11,   55
  11,    0,   51,    0,   45,   11,   60,   10,   36,   10,   54
  12,   10,   47,    1,   64,    0,   19,   11,   56,    0,   28
  13,   11,   65,    0,   38,    0,   30,    0,   49,    1,   21
  14,   10,   37,    0,   65,    0,   35,   10,   61,   11,   56
  15,   10,   64,    0,   50,   11,   58,    1,   44,    1,   21
  16,    1,   34,   10,   51,    1,   31,   11,   57,   10,   36
  17,   10,   46,    0,   31,    0,   63,    1,   27,    1,   63
  18,   10,   54,   10,   47,    1,   47,    0,   27,    1,   24
  19,   10,   47,   11,   60,    1,   33,   10,   48,   10,   37
  20,    1,   25,    0,   43,    1,   42,   11,   64,    1,   28
  21,    1,   55,   11,   63,    0,   65,   10,   38,   10,   65
  22,    1,   48,    1,   23,   10,   36,   11,   60,    0,   23
  23,   10,   62,    1,   64,    0,   58,    1,   16,    1,   36
  24,   11,   64,    0,   43,   10,   46,   11,   57,    0,   19
  25,   10,   52,   11,   65,   11,   54,   10,   57,   10,   57
  26,   11,   61,    1,   41,    0,   46,    0,   25,    1,   54
  27,   10,   46,   10,   37,    0,   65,    1,   33,   10,   44
  28,    1,   24,    0,   26,   10,   38,    1,   29,    1,   17
  29,   11,   59,   11,   65,    1,   37,   10,   48,    1,   51
  30,   11,   65,   10,   47,   11,   61,    0,   22,   10,   37
  31,    0,   36,   10,   49,    1,   43,   10,   48,    1,   65
  32,    1,   53,    1,   31,    0,   59,   10,   63,    1,   48
  33,    0,   37,    0,   20,   11,   56,    0,   27,    1,   41
  34,    0,   65,   11,   55,    1,   48,   11,   59,   11,   57
  35,    1,   38,   10,   42,   10,   42,    1,   63,   11,   63
  36,    0,   25,    1,   54,   11,   60,   10,   60,    0,   22
  37,   11,   54,    0,   19,    0,   58,    1,   20,    0,   49
  38,   11,   60,   11,   60,   10,   56,   11,   63,   11,   62
  39,   11,   56,   10,   53,   11,   59,   11,   58,   10,   61
  40,   11,   61,    0,   26,   10,   43,    0,   59,   11,   57
  41,    1,   55,    0,   48,    0,   31,   11,   54,    0,   38
  42,    1,   58,   10,   56,    0,   65,    1,   45,    1,   14
  43,    1,   20,    0,   47,   10,   39,   10,   46,    1,   53
  44,    1,   59,   10,   50,   10,   46,    0,   50,   10,   59
  45,    0,   61,   11,   65,   11,   62,   11,   60,   11,   56
  46,   11,   59,   11,   59,   11,   54,    0,   62,    1,   60
  47,   11,   61,   10,   42,    0,   57,   11,   63,   10,   48
  48,    1,   18,    1,   42,   11,   65,    1,   17,   11,   62
  49,    0,   39,   10,   36,   11,   65,   10,   38,    0,   35
  50,    0,   34,    0,   64,   11,   54,   11,   56,    0,   50
  51,   11,   55,    0,   35,    0,   47,   11,   56,    0,   34
  52,   11,   55,   11,   58,    1,   27,   11,   65,   10,   41
  53,   11,   55,   10,   40,   11,   65,   11,   57,    0,   54
  54,    1,   34,    0,   24,    0,   21,    0,   38,   10,   58
  55,    0,   38,   10,   38,    1,   31,   11,   54,    1,   34
  56,   10,   45,    0,   32,    1,   63,   11,   57,   10,   56
  57,   11,   59,    1,   53,    1,   25,    1,   62,    0,   40
  58,   10,   50,    0,   18,   10,   54,    0,   32,   11,   61
  59,   10,   40,   10,   50,   10,   58,    0,   54,    1,   65
  60,    0,   60,    0,   30,   10,   53,    1,   17,    1,   27
  61,   11,   64,   10,   37,   11,   57,    1,   40,    0,   62
  62,    0,   37,    1,   40,   10,   54,   10,   48,   10,   48
  63,   11,   63,    1,   32,   10,   40,   10,   47,   10,   40
  64,   10,   46,    1,   34,    1,   49,    1,   47,    0,   32
  65,   10,   37,   10,   36,    1,   59,    0,   43,    0,   59
  66,   10,   58,   10,   36,    0,   47,   11,   64,   10,   57
  67,    0,   54,    1,   17,    1,   29,    0,   38,   11,   59
  68,    1,   50,   10,   39,   11,   59,   11,   58,   11,   58
  69,    0,   27,   11,   61,    0,   36,    0,   22,    0,   20
  70,   10,   41,   10,   54,   10,   51,    1,   59,    1,   36
  71,   10,   51,   11,   65,   11,   65,   10,   50,   10,   42
  72,    1,   14,    0,   18,   10,   40,   11,   62,   11,   58
  73,   11,   59,    1,   17,   11,   63,    1,   36,    1,   13
  74,    0,   35,    0,   43,    0,   27,   10,   58,    1,   58
  75,    1,   30,   10,   37,   11,   54,    1,   51,    0,   56
  76,   11,   59,    0,   21,    0,   54,    1,   61,    1,   16
  77,    1,   52,   11,   54,    0,   41,    0,   59,   11,   57
  78,    1,   42,    1,   41,    0,   32,    1,   44,   10,   43
  79,    0,   23,   11,   55,   10,   43,    1,   51,   10,   58
  80,   10,   61,    0,   48,    0,   53,    1,   48,   10,   55
  81,    0,   57,    0,   42,   10,   43,   10,   44,    0,   56
  82,   10,   45,   10,   36,    0,   36,   11,   60,    0,   54
  83,   11,   63,   10,   56,    0,   53,   11,   63,    1,   43
  84,   10,   63,    0,   58,   10,   46,    1,   12,    0,   49
  85,   10,   50,   11,   59,    1,   57,    1,   44,   10,   60
  86,   11,   58,    0,   19,   10,   64,    1,   35,   10,   55
  87,    1,   48,    1,   31,   10,   57,    0,   19,   10,   36
  88,    0,   28,   10,   37,    0,   64,    1,   60,    0,   38
  89,    1,   21,    1,   65,   10,   47,    1,   26,   10,   58
  90,   10,   49,    0,   62,    1,   33,    0,   24,   11,   60
  91,   10,   40,    1,   57,   11,   56,    0,   56,    0,   55
  92,   10,   41,    0,   62,   10,   54,    1,   20,   10,   43
  93,   11,   62,    0,   62,    0,   22,    1,   20,    0,   35
  94,   10,   48,    1,   38,    1,   28,   11,   60,   11,   63
  95,   10,   43,   10,   49,   10,   48,    1,   13,   10,   37
  96,   10,   53,   11,   57,   10,   42,   10,   46,   11,   65
  97,    0,   45,    1,   64,   11,   61,   10,   56,    1,   61
  98,   11,   57,   10,   36,   11,   60,   11,   58,   10,   45
  99,   11,   61,   11,   54,    0,   20,    0,   62,   11,   59
 100,   11,   63,   11,   62,    0,   44,    1,   63,    0,   26
 101,   10,   40,    0,   42,   11,   61,   11,   57,    1,   35
 102,   11,   62,   11,   60,   10,   65,    0,   55,   11,   64
 103,   11,   55,   10,   63,   10,   46,   11,   60,    1,   45
 104,   11,   56,    0,   43,   11,   62,   10,   54,    1,   51
 105,    0,   60,    1,   63,   11,   54,    1,   52,    1,   39
 106,   11,   62,   11,   55,   11,   65,   10,   64,    1,   59
 107,   11,   61,    0,   19,    0,   30,   11,   58,   11,   61
 108,    1,   59,    0,   40,   11,   55,   10,   45,    0,   40
 109,   10,   37,   10,   46,    0,   27,    0,   43,    0,   62
 110,   11,   65,    1,   60,   11,   63,    1,   48,   10,   48
 111,    1,   15,    0,   24,    1,   46,   11,   54,   11,   54
 112,   10,   58,   10,   64,    1,   43,    0,   44,   11,   56
 113,    1,   49,    1,   25,   11,   65,    0,   61,   10,   37
 114,   10,   55,    0,   54,   11,   54,   10,   49,    0,   40
 115,    0,   34,   10,   50,   10,   52,   11,   58,   11,   54
 116,    1,   31,    1,   57,   10,   65,   11,   55,    1,   13
