nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y 
   0,   11,   63,    1,   25,   10,   48,   11,   57,    1,   43,   11,   60
   1,    1,   52,   10,   43,   11,   65,   11,   64,    1,   51,   11,   62
   2,    1,   17,    1,   44,   11,   65,    1,   58,    1,   55,   10,   36
   3,   10,   47,   11,   62,    0,   41,   11,   56,    1,   59,    0,   45
   4,    0,   64,   11,   59,    0,   33,   10,   63,    0,   44,   10,   52
   5,   11,   60,   11,   61,   10,   49,   10,   47,   10,   44,    0,   26
   6,   10,   55,    1,   16,   11,   64,   11,   64,   11,   65,   10,   47
   7,   10,   44,   11,   64,   11,   61,   11,   60,    1,   47,   11,   65
   8,   11,   54,   10,   50,   10,   61,    0,   53,    0,   28,   11,   57
   9,   11,   55,    0,   51,    0,   45,   11,   60,   10,   36,   10,   54
  10,   10,   47,    1,   64,    0,   19,   11,   56,    0,   28,   11,   65
  11,    0,   38,    0,   30,    0,   49,    1,   21,   10,   37,    0,   65
  12,    0,   35,   10,   61,   11,   56,   10,   64,    0,   50,   11,   58
  13,    1,   44,    1,   21,    1,   34,   10,   51,    1,   31,   11,   57
  14,   10,   36,   10,   46,    0,   31,    0,   63,    1,   27,    1,   63
  15,   10,   54,   10,   47,    1,   47,    0,   27,    1,   24,   10,   47
  16,   11,   60,    1,   33,   10,   48,   10,   37,    1,   25,    0,   43
  17,    1,   42,   11,   64,    1,   28,    1,   55,   11,   63,    0,   65
  18,   10,   38,   10,   65,    1,   48,    1,   23,   10,   36,   11,   60
  19,    0,   23,   10,   62,    1,   64,    0,   58,    1,   16,    1,   36
  20,   11,   64,    0,   43,   10,   46,   11,   57,    0,   19,   10,   52
  21,   11,   65,   11,   54,   10,   57,   10,   57,   11,   61,    1,   41
  22,    0,   46,    0,   25,    1,   54,   10,   46,   10,   37,    0,   65
  23,    1,   33,   10,   44,    1,   24,    0,   26,   10,   38,    1,   29
  24,    1,   17,   11,   59,   11,   65,    1,   37,   10,   48,    1,   51
