nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y 
   0,   11,   63,    1,   25,   10,   48,   11,   57,    1,   43,   11,   60,    1,   52,   10,   43,   11,   65
   1,   11,   64,    1,   51,   11,   62,    1,   17,    1,   44,   11,   65,    1,   58,    1,   55,   10,   36
   2,   10,   47,   11,   62,    0,   41,   11,   56,    1,   59,    0,   45,    0,   64,   11,   59,    0,   33
   3,   10,   63,    0,   44,   10,   52,   11,   60,   11,   61,   10,   49,   10,   47,   10,   44,    0,   26
   4,   10,   55,    1,   16,   11,   64,   11,   64,   11,   65,   10,   47,   10,   44,   11,   64,   11,   61
   5,   11,   60,    1,   47,   11,   65,   11,   54,   10,   50,   10,   61,    0,   53,    0,   28,   11,   57
   6,   11,   55,    0,   51,    0,   45,   11,   60,   10,   36,   10,   54,   10,   47,    1,   64,    0,   19
   7,   11,   56,    0,   28,   11,   65,    0,   38,    0,   30,    0,   49,    1,   21,   10,   37,    0,   65
   8,    0,   35,   10,   61,   11,   56,   10,   64,    0,   50,   11,   58,    1,   44,    1,   21,    1,   34
   9,   10,   51,    1,   31,   11,   57,   10,   36,   10,   46,    0,   31,    0,   63,    1,   27,    1,   63
  10,   10,   54,   10,   47,    1,   47,    0,   27,    1,   24,   10,   47,   11,   60,    1,   33,   10,   48
  11,   10,   37,    1,   25,    0,   43,    1,   42,   11,   64,    1,   28,    1,   55,   11,   63,    0,   65
  12,   10,   38,   10,   65,    1,   48,    1,   23,   10,   36,   11,   60,    0,   23,   10,   62,    1,   64
  13,    0,   58,    1,   16,    1,   36,   11,   64,    0,   43,   10,   46,   11,   57,    0,   19,   10,   52
  14,   11,   65,   11,   54,   10,   57,   10,   57,   11,   61,    1,   41,    0,   46,    0,   25,    1,   54
  15,   10,   46,   10,   37,    0,   65,    1,   33,   10,   44,    1,   24,    0,   26,   10,   38,    1,   29
  16,    1,   17,   11,   59,   11,   65,    1,   37,   10,   48,    1,   51,   11,   65,   10,   47,   11,   61
  17,    0,   22,   10,   37,    0,   36,   10,   49,    1,   43,   10,   48,    1,   65,    1,   53,    1,   31
  18,    0,   59,   10,   63,    1,   48,    0,   37,    0,   20,   11,   56,    0,   27,    1,   41,    0,   65
  19,   11,   55,    1,   48,   11,   59,   11,   57,    1,   38,   10,   42,   10,   42,    1,   63,   11,   63
  20,    0,   25,    1,   54,   11,   60,   10,   60,    0,   22,   11,   54,    0,   19,    0,   58,    1,   20
  21,    0,   49,   11,   60,   11,   60,   10,   56,   11,   63,   11,   62,   11,   56,   10,   53,   11,   59
  22,   11,   58,   10,   61,   11,   61,    0,   26,   10,   43,    0,   59,   11,   57,    1,   55,    0,   48
  23,    0,   31,   11,   54,    0,   38,    1,   58,   10,   56,    0,   65,    1,   45,    1,   14,    1,   20
  24,    0,   47,   10,   39,   10,   46,    1,   53,    1,   59,   10,   50,   10,   46,    0,   50,   10,   59
  25,    0,   61,   11,   65,   11,   62,   11,   60,   11,   56,   11,   59,   11,   59,   11,   54,    0,   62
  26,    1,   60,   11,   61,   10,   42,    0,   57,   11,   63,   10,   48,    1,   18,    1,   42,   11,   65
  27,    1,   17,   11,   62,    0,   39,   10,   36,   11,   65,   10,   38,    0,   35,    0,   34,    0,   64
