nExp,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y,  A5x,  A5y,  A6x,  A6y,  A7x,  A7y,  A8x,  A8y,  A9x,  A9y,  A10x,  A10y,  A11x,  A11y,  A12x,  A12y,  A13x,  A13y,  A14x,  A14y,  A15x,  A15y,  A16x,  A16y,  A17x,  A17y,  A18x,  A18y,  A19x,  A19y 
   0,   11,   63,    1,   25,   10,   48,   11,   57,    1,   43,   11,   60,    1,   52,   10,   43,   11,   65,   11,   64,    1,   51,   11,   62,    1,   17,    1,   44,   11,   65,    1,   58,    1,   55,   10,   36,   10,   47,   11,   62
   1,    0,   41,   11,   56,    1,   59,    0,   45,    0,   64,   11,   59,    0,   33,   10,   63,    0,   44,   10,   52,   11,   60,   11,   61,   10,   49,   10,   47,   10,   44,    0,   26,   10,   55,    1,   16,   11,   64,   11,   64
   2,   11,   65,   10,   47,   10,   44,   11,   64,   11,   61,   11,   60,    1,   47,   11,   65,   11,   54,   10,   50,   10,   61,    0,   53,    0,   28,   11,   57,   11,   55,    0,   51,    0,   45,   11,   60,   10,   36,   10,   54
   3,   10,   47,    1,   64,    0,   19,   11,   56,    0,   28,   11,   65,    0,   38,    0,   30,    0,   49,    1,   21,   10,   37,    0,   65,    0,   35,   10,   61,   11,   56,   10,   64,    0,   50,   11,   58,    1,   44,    1,   21
   4,    1,   34,   10,   51,    1,   31,   11,   57,   10,   36,   10,   46,    0,   31,    0,   63,    1,   27,    1,   63,   10,   54,   10,   47,    1,   47,    0,   27,    1,   24,   10,   47,   11,   60,    1,   33,   10,   48,   10,   37
   5,    1,   25,    0,   43,    1,   42,   11,   64,    1,   28,    1,   55,   11,   63,    0,   65,   10,   38,   10,   65,    1,   48,    1,   23,   10,   36,   11,   60,    0,   23,   10,   62,    1,   64,    0,   58,    1,   16,    1,   36
   6,   11,   64,    0,   43,   10,   46,   11,   57,    0,   19,   10,   52,   11,   65,   11,   54,   10,   57,   10,   57,   11,   61,    1,   41,    0,   46,    0,   25,    1,   54,   10,   46,   10,   37,    0,   65,    1,   33,   10,   44
   7,    1,   24,    0,   26,   10,   38,    1,   29,    1,   17,   11,   59,   11,   65,    1,   37,   10,   48,    1,   51,   11,   65,   10,   47,   11,   61,    0,   22,   10,   37,    0,   36,   10,   49,    1,   43,   10,   48,    1,   65
   8,    1,   53,    1,   31,    0,   59,   10,   63,    1,   48,    0,   37,    0,   20,   11,   56,    0,   27,    1,   41,    0,   65,   11,   55,    1,   48,   11,   59,   11,   57,    1,   38,   10,   42,   10,   42,    1,   63,   11,   63
   9,    0,   25,    1,   54,   11,   60,   10,   60,    0,   22,   11,   54,    0,   19,    0,   58,    1,   20,    0,   49,   11,   60,   11,   60,   10,   56,   11,   63,   11,   62,   11,   56,   10,   53,   11,   59,   11,   58,   10,   61
  10,   11,   61,    0,   26,   10,   43,    0,   59,   11,   57,    1,   55,    0,   48,    0,   31,   11,   54,    0,   38,    1,   58,   10,   56,    0,   65,    1,   45,    1,   14,    1,   20,    0,   47,   10,   39,   10,   46,    1,   53
  11,    1,   59,   10,   50,   10,   46,    0,   50,   10,   59,    0,   61,   11,   65,   11,   62,   11,   60,   11,   56,   11,   59,   11,   59,   11,   54,    0,   62,    1,   60,   11,   61,   10,   42,    0,   57,   11,   63,   10,   48
  12,    1,   18,    1,   42,   11,   65,    1,   17,   11,   62,    0,   39,   10,   36,   11,   65,   10,   38,    0,   35,    0,   34,    0,   64,   11,   54,   11,   56,    0,   50,   11,   55,    0,   35,    0,   47,   11,   56,    0,   34
  13,   11,   55,   11,   58,    1,   27,   11,   65,   10,   41,   11,   55,   10,   40,   11,   65,   11,   57,    0,   54,    1,   34,    0,   24,    0,   21,    0,   38,   10,   58,    0,   38,   10,   38,    1,   31,   11,   54,    1,   34
  14,   10,   45,    0,   32,    1,   63,   11,   57,   10,   56,   11,   59,    1,   53,    1,   25,    1,   62,    0,   40,   10,   50,    0,   18,   10,   54,    0,   32,   11,   61,   10,   40,   10,   50,   10,   58,    0,   54,    1,   65
  15,    0,   60,    0,   30,   10,   53,    1,   17,    1,   27,   11,   64,   10,   37,   11,   57,    1,   40,    0,   62,    0,   37,    1,   40,   10,   54,   10,   48,   10,   48,   11,   63,    1,   32,   10,   40,   10,   47,   10,   40
  16,   10,   46,    1,   34,    1,   49,    1,   47,    0,   32,   10,   37,   10,   36,    1,   59,    0,   43,    0,   59,   10,   58,   10,   36,    0,   47,   11,   64,   10,   57,    0,   54,    1,   17,    1,   29,    0,   38,   11,   59
  17,    1,   50,   10,   39,   11,   59,   11,   58,   11,   58,    0,   27,   11,   61,    0,   36,    0,   22,    0,   20,   10,   41,   10,   54,   10,   51,    1,   59,    1,   36,   10,   51,   11,   65,   11,   65,   10,   50,   10,   42
  18,    1,   14,    0,   18,   10,   40,   11,   62,   11,   58,   11,   59,    1,   17,   11,   63,    1,   36,    1,   13,    0,   35,    0,   43,    0,   27,   10,   58,    1,   58,    1,   30,   10,   37,   11,   54,    1,   51,    0,   56
  19,   11,   59,    0,   21,    0,   54,    1,   61,    1,   16,    1,   52,   11,   54,    0,   41,    0,   59,   11,   57,    1,   42,    1,   41,    0,   32,    1,   44,   10,   43,    0,   23,   11,   55,   10,   43,    1,   51,   10,   58
  20,   10,   61,    0,   48,    0,   53,    1,   48,   10,   55,    0,   57,    0,   42,   10,   43,   10,   44,    0,   56,   10,   45,   10,   36,    0,   36,   11,   60,    0,   54,   11,   63,   10,   56,    0,   53,   11,   63,    1,   43
  21,   10,   63,    0,   58,   10,   46,    1,   12,    0,   49,   10,   50,   11,   59,    1,   57,    1,   44,   10,   60,   11,   58,    0,   19,   10,   64,    1,   35,   10,   55,    1,   48,    1,   31,   10,   57,    0,   19,   10,   36
  22,    0,   28,   10,   37,    0,   64,    1,   60,    0,   38,    1,   21,    1,   65,   10,   47,    1,   26,   10,   58,   10,   49,    0,   62,    1,   33,    0,   24,   11,   60,   10,   40,    1,   57,   11,   56,    0,   56,    0,   55
  23,   10,   41,    0,   62,   10,   54,    1,   20,   10,   43,   11,   62,    0,   62,    0,   22,    1,   20,    0,   35,   10,   48,    1,   38,    1,   28,   11,   60,   11,   63,   10,   43,   10,   49,   10,   48,    1,   13,   10,   37
  24,   10,   53,   11,   57,   10,   42,   10,   46,   11,   65,    0,   45,    1,   64,   11,   61,   10,   56,    1,   61,   11,   57,   10,   36,   11,   60,   11,   58,   10,   45,   11,   61,   11,   54,    0,   20,    0,   62,   11,   59
  25,   11,   63,   11,   62,    0,   44,    1,   63,    0,   26,   10,   40,    0,   42,   11,   61,   11,   57,    1,   35,   11,   62,   11,   60,   10,   65,    0,   55,   11,   64,   11,   55,   10,   63,   10,   46,   11,   60,    1,   45
  26,   11,   56,    0,   43,   11,   62,   10,   54,    1,   51,    0,   60,    1,   63,   11,   54,    1,   52,    1,   39,   11,   62,   11,   55,   11,   65,   10,   64,    1,   59,   11,   61,    0,   19,    0,   30,   11,   58,   11,   61
  27,    1,   59,    0,   40,   11,   55,   10,   45,    0,   40,   10,   37,   10,   46,    0,   27,    0,   43,    0,   62,   11,   65,    1,   60,   11,   63,    1,   48,   10,   48,    1,   15,    0,   24,    1,   46,   11,   54,   11,   54
  28,   10,   58,   10,   64,    1,   43,    0,   44,   11,   56,    1,   49,    1,   25,   11,   65,    0,   61,   10,   37,   10,   55,    0,   54,   11,   54,   10,   49,    0,   40,    0,   34,   10,   50,   10,   52,   11,   58,   11,   54
  29,    1,   31,    1,   57,   10,   65,   11,   55,    1,   13,   10,   36,   11,   56,    1,   15,    1,   33,    0,   54,   10,   46,   11,   54,    0,   35,   11,   63,   10,   52,   11,   58,    0,   56,    0,   36,    1,   18,    1,   21
  30,   10,   55,    0,   39,   10,   62,    1,   16,    0,   59,   11,   64,    1,   46,    0,   57,    1,   63,    1,   13,   11,   61,    1,   13,    1,   20,   10,   40,    0,   62,   10,   43,   11,   61,   11,   59,   11,   62,    0,   29
  31,    1,   21,    0,   28,   11,   59,   11,   55,   10,   36,   11,   54,    1,   55,   11,   54,   11,   60,    0,   55,    0,   47,   11,   62,    1,   13,    1,   61,    1,   25,    0,   42,   10,   38,    1,   47,   11,   59,    1,   37
  32,    0,   36,   10,   47,   10,   61,   11,   64,    1,   13,   10,   50,    0,   19,    1,   55,   11,   55,   11,   54,   10,   36,    1,   58,    1,   61,   10,   54,    0,   34,    1,   43,   11,   57,   10,   64,    1,   45,   11,   61
  33,   11,   56,   11,   56,   10,   44,   10,   44,    1,   48,    1,   51,    1,   19,   10,   40,    1,   33,    0,   52,   10,   59,   10,   52,    0,   27,    0,   43,   11,   58,   11,   62,   10,   46,    0,   64,   11,   58,   11,   64
  34,    1,   39,    1,   49,   11,   65,   10,   45,   11,   65,    1,   63,   10,   64,   11,   63,   10,   40,    0,   46,   10,   64,   10,   56,   10,   42,   10,   65,    0,   51,   10,   47,   11,   54,   11,   63,    1,   17,    1,   43
  35,    1,   38,   11,   65,   10,   60,    0,   59,   11,   56,   11,   64,   11,   60,   10,   42,   10,   48,    0,   24,    1,   59,   10,   63,   11,   55,   10,   46,   10,   49,    1,   17,   11,   59,   10,   50,    0,   43,    0,   58
  36,   11,   55,    0,   21,    1,   63,   10,   43,    0,   23,    0,   56,    0,   59,   11,   55,   10,   36,   11,   60,   11,   59,   10,   63,   10,   62,    1,   17,    0,   28,   11,   57,    0,   41,   11,   60,    1,   16,   10,   42
