nExp, Time,  AVy,  A0x,  A0y 
   0,    0,    0,   11,   63
   0,    1,    0,   11,   62
   0,    2,    6,   11,   61
   0,    3,   12,   11,   60
   0,    4,   18,   11,   59
   0,    5,   24,   11,   58
   0,    6,   30,   11,   57
   0,    7,   36,   11,   56
   0,    8,   42,   11,   55
   0,    9,   48,   11,   54
   0,   10,   54,   11,   53
   0,   11,   60,   11,   52
   0,    1,    0,    1,   25
   1,    1,    1,    1,   24
   1,    2,    7,    1,   23
   1,    3,   13,    1,   22
   1,    4,   19,    1,   21
   1,    5,   25,    1,   20
   1,    6,   31,    1,   19
   1,    7,   37,    1,   18
   1,    8,   43,    1,   17
   1,    9,   49,    1,   16
   1,   10,   55,    2,   16
   1,   11,   61,    3,   16
   0,    2,    0,   10,   48
   2,    1,    2,   10,   47
   2,    2,    8,   10,   46
   2,    3,   14,    9,   46
   2,    4,   20,    8,   46
   2,    5,   26,    7,   46
   2,    6,   32,    6,   46
   2,    7,   38,    5,   46
   2,    8,   44,    4,   46
   0,    3,    0,   11,   57
   3,    1,    4,   11,   56
   3,    2,   10,   11,   55
   3,    3,   16,   11,   54
   3,    4,   22,   11,   53
   3,    5,   28,   11,   52
   3,    6,   34,   10,   52
   3,    7,   40,    9,   52
   3,    8,   46,    8,   52
   3,    9,   52,    7,   52
   3,   10,   58,    6,   52
   3,   11,   64,    5,   52
   0,    4,    0,    1,   43
   4,    1,    5,    1,   42
   4,    2,   11,    1,   41
   4,    3,   17,    1,   40
   4,    4,   23,    1,   39
   4,    5,   29,    2,   39
   4,    6,   35,    3,   39
   0,    5,    0,   11,   60
   5,    1,    2,   11,   59
   5,    2,    8,   11,   58
   5,    3,   14,   11,   57
   5,    4,   20,   11,   56
   5,    5,   26,   11,   55
   5,    6,   32,   11,   54
   5,    7,   38,   10,   54
   5,    8,   44,    9,   54
   5,    9,   50,    8,   54
   5,   10,   56,    7,   54
   5,   11,   62,    6,   54
   0,    6,    0,    1,   52
   6,    1,    3,    1,   51
   6,    2,    9,    1,   50
   6,    3,   15,    1,   49
   6,    4,   21,    1,   48
   6,    5,   27,    2,   48
   6,    6,   33,    3,   48
   6,    7,   39,    4,   48
   6,    8,   45,    5,   48
   0,    7,    0,   10,   43
   7,    1,    3,   10,   42
   7,    2,    9,   10,   41
   7,    3,   15,   10,   40
   7,    4,   21,    9,   40
   7,    5,   27,    8,   40
   7,    6,   33,    7,   40
   7,    7,   39,    6,   40
   7,    8,   45,    5,   40
   7,    9,   51,    4,   40
   7,   10,   57,    3,   40
   7,   11,   63,    2,   40
   0,    8,    0,   11,   65
   8,    1,    4,   11,   64
   8,    2,   10,   11,   63
   8,    3,   16,   11,   62
   8,    4,   22,   11,   61
   8,    5,   28,   10,   61
   8,    6,   34,    9,   61
   8,    7,   40,    8,   61
   8,    8,   46,    7,   61
   8,    9,   52,    6,   61
   8,   10,   58,    5,   61
   0,    9,    0,   11,   64
   9,    1,    3,   11,   63
   9,    2,    9,   11,   62
   9,    3,   15,   11,   61
   9,    4,   21,   11,   60
   9,    5,   27,   10,   60
   9,    6,   33,    9,   60
   9,    7,   39,    8,   60
   9,    8,   45,    7,   60
   9,    9,   51,    6,   60
   9,   10,   57,    5,   60
   0,   10,    0,    1,   51
  10,    1,    3,    1,   50
  10,    2,    9,    1,   49
  10,    3,   15,    1,   48
  10,    4,   21,    1,   47
  10,    5,   27,    1,   46
  10,    6,   33,    1,   45
  10,    7,   39,    1,   44
  10,    8,   45,    1,   43
  10,    9,   51,    1,   42
  10,   10,   57,    1,   41
  10,   11,   63,    1,   40
   0,   11,    0,   11,   62
  11,    1,    4,   11,   61
  11,    2,   10,   11,   60
  11,    3,   16,   11,   59
  11,    4,   22,   11,   58
  11,    5,   28,   11,   57
  11,    6,   34,   11,   56
  11,    7,   40,   11,   55
  11,    8,   46,   11,   54
  11,    9,   52,   11,   53
  11,   10,   58,   11,   52
  11,   11,   64,   11,   51
   0,   12,    0,    1,   17
  12,    1,    5,    1,   16
  12,    2,   11,    1,   15
  12,    3,   17,    1,   14
  12,    4,   23,    1,   13
  12,    5,   29,    2,   13
  12,    6,   35,    3,   13
  12,    7,   41,    4,   13
  12,    8,   47,    5,   13
  12,    9,   53,    6,   13
  12,   10,   59,    7,   13
   0,   13,    0,    1,   44
  13,    1,    0,    1,   43
  13,    2,    6,    1,   42
  13,    3,   12,    1,   41
  13,    4,   18,    1,   40
  13,    5,   24,    1,   39
  13,    6,   30,    1,   38
  13,    7,   36,    1,   37
  13,    8,   42,    1,   36
  13,    9,   48,    1,   35
  13,   10,   54,    1,   34
  13,   11,   60,    1,   33
   0,   14,    0,   11,   65
  14,    1,    1,   11,   64
  14,    2,    7,   11,   63
  14,    3,   13,   11,   62
  14,    4,   19,   11,   61
  14,    5,   25,   11,   60
  14,    6,   31,   11,   59
  14,    7,   37,   11,   58
  14,    8,   43,   11,   57
  14,    9,   49,   11,   56
  14,   10,   55,   11,   55
  14,   11,   61,   11,   54
   0,   15,    0,    1,   58
  15,    1,    2,    1,   57
  15,    2,    8,    2,   57
  15,    3,   14,    3,   57
  15,    4,   20,    4,   57
  15,    5,   26,    5,   57
  15,    6,   32,    6,   57
  15,    7,   38,    7,   57
  15,    8,   44,    8,   57
  15,    9,   50,    9,   57
  15,   10,   56,   10,   57
  15,   11,   62,   11,   57
   0,   16,    0,    1,   55
  16,    1,    3,    1,   54
  16,    2,    9,    1,   53
  16,    3,   15,    1,   52
  16,    4,   21,    1,   51
  16,    5,   27,    1,   50
  16,    6,   33,    1,   49
  16,    7,   39,    1,   48
  16,    8,   45,    1,   47
  16,    9,   51,    2,   47
  16,   10,   57,    3,   47
  16,   11,   63,    4,   47
   0,   17,    0,   10,   36
  17,    1,    4,   10,   35
  17,    2,   10,   10,   34
  17,    3,   16,   10,   33
  17,    4,   22,   10,   32
  17,    5,   28,   10,   31
  17,    6,   34,   10,   30
  17,    7,   40,   10,   29
  17,    8,   46,   10,   28
  17,    9,   52,    9,   28
  17,   10,   58,    8,   28
  17,   11,   64,    7,   28
   0,   18,    0,   10,   47
  18,    1,    5,   10,   46
  18,    2,   11,   10,   45
  18,    3,   17,   10,   44
  18,    4,   23,   10,   43
  18,    5,   29,   10,   42
  18,    6,   35,   10,   41
  18,    7,   41,   10,   40
  18,    8,   47,   10,   39
  18,    9,   53,   10,   38
  18,   10,   59,   10,   37
   0,   19,    0,   11,   62
  19,    1,    0,   11,   61
  19,    2,    6,   11,   60
  19,    3,   12,   11,   59
  19,    4,   18,   11,   58
  19,    5,   24,   11,   57
  19,    6,   30,   11,   56
  19,    7,   36,   11,   55
  19,    8,   42,   11,   54
  19,    9,   48,   11,   53
  19,   10,   54,   11,   52
  19,   11,   60,   11,   51
   0,   20,    0,    0,   41
  20,    1,    1,    0,   40
  20,    2,    7,    0,   39
  20,    3,   13,    0,   38
  20,    4,   19,    0,   37
  20,    5,   25,    0,   36
  20,    6,   31,    0,   35
  20,    7,   37,    0,   34
  20,    8,   43,    0,   33
  20,    9,   49,    0,   32
  20,   10,   55,    0,   31
  20,   11,   61,    0,   30
   0,   21,    0,   11,   56
  21,    1,    2,   11,   55
  21,    2,    8,   11,   54
  21,    3,   14,   11,   53
  21,    4,   20,   11,   52
  21,    5,   26,   11,   51
  21,    6,   32,   11,   50
  21,    7,   38,   11,   49
  21,    8,   44,   11,   48
  21,    9,   50,   11,   47
  21,   10,   56,   11,   46
  21,   11,   62,   10,   46
   0,   22,    0,    1,   59
  22,    1,    3,    1,   58
  22,    2,    9,    1,   57
  22,    3,   15,    2,   57
  22,    4,   21,    3,   57
  22,    5,   27,    4,   57
  22,    6,   33,    5,   57
  22,    7,   39,    6,   57
  22,    8,   45,    7,   57
  22,    9,   51,    8,   57
  22,   10,   57,    9,   57
  22,   11,   63,   10,   57
   0,   23,    0,    0,   45
  23,    1,    4,    0,   44
  23,    2,   10,    0,   43
  23,    3,   16,    0,   42
  23,    4,   22,    1,   42
  23,    5,   28,    2,   42
  23,    6,   34,    3,   42
  23,    7,   40,    4,   42
   0,   24,    0,    0,   64
  24,    1,    4,    0,   63
  24,    2,   10,    0,   62
  24,    3,   16,    0,   61
  24,    4,   22,    0,   60
  24,    5,   28,    0,   59
  24,    6,   34,    0,   58
  24,    7,   40,    0,   57
  24,    8,   46,    0,   56
  24,    9,   52,    0,   55
  24,   10,   58,    0,   54
  24,   11,   64,    0,   53
   0,   25,    0,   11,   59
  25,    1,    5,   11,   58
  25,    2,   11,   11,   57
  25,    3,   17,   11,   56
  25,    4,   23,   11,   55
  25,    5,   29,   11,   54
  25,    6,   35,   11,   53
  25,    7,   41,   10,   53
  25,    8,   47,    9,   53
  25,    9,   53,    8,   53
  25,   10,   59,    7,   53
   0,   26,    0,    0,   33
  26,    1,    0,    0,   32
  26,    2,    6,    0,   31
  26,    3,   12,    0,   30
  26,    4,   18,    0,   29
  26,    5,   24,    1,   29
  26,    6,   30,    2,   29
  26,    7,   36,    3,   29
  26,    8,   42,    4,   29
  26,    9,   48,    5,   29
  26,   10,   54,    6,   29
  26,   11,   60,    7,   29
   0,   27,    0,   10,   63
  27,    1,    1,   10,   62
  27,    2,    7,   10,   61
  27,    3,   13,   10,   60
  27,    4,   19,   10,   59
  27,    5,   25,    9,   59
  27,    6,   31,    8,   59
  27,    7,   37,    7,   59
  27,    8,   43,    6,   59
  27,    9,   49,    5,   59
  27,   10,   55,    4,   59
   0,   28,    0,    0,   44
  28,    1,    2,    0,   43
  28,    2,    8,    0,   42
  28,    3,   14,    0,   41
  28,    4,   20,    0,   40
  28,    5,   26,    0,   39
  28,    6,   32,    0,   38
  28,    7,   38,    0,   37
  28,    8,   44,    0,   36
  28,    9,   50,    0,   35
  28,   10,   56,    0,   34
  28,   11,   62,    0,   33
   0,   29,    0,   10,   52
  29,    1,    3,   10,   51
  29,    2,    9,   10,   50
  29,    3,   15,   10,   49
  29,    4,   21,   10,   48
  29,    5,   27,   10,   47
  29,    6,   33,   10,   46
  29,    7,   39,   10,   45
  29,    8,   45,   10,   44
  29,    9,   51,   10,   43
  29,   10,   57,   10,   42
  29,   11,   63,   10,   41
   0,   30,    0,   11,   60
  30,    1,    4,   11,   59
  30,    2,   10,   11,   58
  30,    3,   16,   10,   58
  30,    4,   22,    9,   58
  30,    5,   28,    8,   58
  30,    6,   34,    7,   58
  30,    7,   40,    6,   58
  30,    8,   46,    5,   58
  30,    9,   52,    4,   58
   0,   31,    0,   11,   61
  31,    1,    0,   10,   61
  31,    2,    6,    9,   61
  31,    3,   12,    8,   61
  31,    4,   18,    7,   61
  31,    5,   24,    6,   61
  31,    6,   30,    5,   61
  31,    7,   36,    4,   61
  31,    8,   42,    3,   61
  31,    9,   48,    2,   61
  31,   10,   54,    1,   61
  31,   11,   60,    2,   61
   0,   32,    0,   10,   49
  32,    1,    5,    9,   49
  32,    2,   11,    8,   49
  32,    3,   17,    7,   49
  32,    4,   23,    6,   49
  32,    5,   29,    5,   49
  32,    6,   35,    4,   49
  32,    7,   41,    3,   49
  32,    8,   47,    2,   49
   0,   33,    0,   10,   47
  33,    1,    4,   10,   46
  33,    2,   10,   10,   45
  33,    3,   16,   10,   44
  33,    4,   22,   10,   43
  33,    5,   28,   10,   42
  33,    6,   34,   10,   41
