nExp, valid,  A0
   0,     0, -11
   1,     0, -19
   2,     1,  68
   3,     0, -31
   4,     1,  86
   5,     0, -27
   6,     1,  76
   7,     0, -43
   8,     1,  70
   9,     1,  70
  10,     0, -11
  11,     0, -11
  12,     0, -34
  13,     0, -11
  14,     0, -11
  15,     0, -43
  16,     0, -23
  17,     0, -23
  18,     0, -10
  19,     0, -11
  20,     0, -11
  21,     0, -11
  22,     0, -43
  23,     1,  81
  24,     0, -11
  25,     0, -22
  26,     0, -35
  27,     1,  66
  28,     0, -11
  29,     0, -11
  30,     1,  67
  31,     1,  53
  32,     1,  60
  33,     0, -11
  34,     0, -10
  35,     0, -11
  36,     0, -31
  37,     0, -11
  38,     1,  66
  39,     0, -11
  40,     1,  62
  41,     0, -11
  42,     1,  69
  43,     1,  53
  44,     0, -31
  45,     1,  62
  46,     0, -18
  47,     0, -27
  48,     0, -11
  49,     1,  60
  50,     0, -31
  51,     0, -11
  52,     1,  83
  53,     0, -10
  54,     0, -11
  55,     0, -43
  56,     0, -15
  57,     0, -47
  58,     0, -39
  59,     1,  72
  60,     0, -11
  61,     0, -11
  62,     0, -11
  63,     0, -30
  64,     0, -35
  65,     0, -15
  66,     0, -43
  67,     1,  79
  68,     0, -11
  69,     0, -11
  70,     0, -10
  71,     0, -43
  72,     0, -43
  73,     0, -11
  74,     0, -11
  75,     1,  58
  76,     0, -15
  77,     0, -11
  78,     0, -31
  79,     0, -10
  80,     0, -11
  81,     0, -11
  82,     0, -11
  83,     1,  67
  84,     0, -43
  85,     0, -11
  86,     1,  83
  87,     0, -11
  88,     0, -10
  89,     0, -43
  90,     0, -11
  91,     1,  60
  92,     0, -11
  93,     0, -15
  94,     0, -34
  95,     0, -23
  96,     0, -23
  97,     0, -27
  98,     0, -43
  99,     0, -11
 100,     0, -18
 101,     0, -11
 102,     0, -23
 103,     0, -31
 104,     0, -27
 105,     0, -11
 106,     1,  62
 107,     0, -11
 108,     0, -26
 109,     0, -11
 110,     0, -27
 111,     0, -11
 112,     0, -11
 113,     0, -47
 114,     0, -10
 115,     0, -11
 116,     0, -43
 117,     0, -11
 118,     0, -11
 119,     0, -27
 120,     0, -10
 121,     0, -43
 122,     0, -11
 123,     0, -47
 124,     0, -27
 125,     0, -23
 126,     0, -10
 127,     1,  59
 128,     1,  71
 129,     0, -11
 130,     0, -31
 131,     1,  78
 132,     0, -19
 133,     0, -11
 134,     1,  84
 135,     0, -11
 136,     0, -27
 137,     0, -43
 138,     0, -10
 139,     1,  60
 140,     0, -39
 141,     1,  88
 142,     0, -11
 143,     1,  88
 144,     0, -35
 145,     1,  71
 146,     1,  61
 147,     0, -10
 148,     1,  72
 149,     0, -43
 150,     0, -11
 151,     0, -10
 152,     0, -19
 153,     1,  88
 154,     0, -35
 155,     0, -10
 156,     0, -11
 157,     0, -43
 158,     0, -19
 159,     0, -35
 160,     0, -11
 161,     0, -10
 162,     0, -43
 163,     0, -15
 164,     0, -27
 165,     0, -43
 166,     0, -35
 167,     1,  63
 168,     0, -11
 169,     0, -10
 170,     1,  86
 171,     0, -11
 172,     0, -15
 173,     0, -10
 174,     1,  62
 175,     0, -42
 176,     1,  65
 177,     0, -35
 178,     0, -11
 179,     1,  66
 180,     0, -27
 181,     0, -11
 182,     0, -11
 183,     1,  63
 184,     0, -11
 185,     0, -23
 186,     0, -11
 187,     1,  75
 188,     0, -11
 189,     0, -10
 190,     0, -47
 191,     0, -11
 192,     0, -11
 193,     0, -11
 194,     1,  58
 195,     1,  63
 196,     0, -11
 197,     1,  67
 198,     0, -47
 199,     1,  66
 200,     0, -47
 201,     1,  84
 202,     0, -23
 203,     0, -43
 204,     1,  63
 205,     0, -11
 206,     0, -43
 207,     0, -10
 208,     1,  67
 209,     1,  78
 210,     1,  75
 211,     1,  63
 212,     0, -39
 213,     0, -43
 214,     0, -31
 215,     1,  85
 216,     0, -11
 217,     0, -11
 218,     0, -26
 219,     0, -43
 220,     0, -11
 221,     0, -19
 222,     0, -43
 223,     0, -11
 224,     0, -46
 225,     0, -15
 226,     1,  70
 227,     1,  66
 228,     0, -11
 229,     0, -11
 230,     0, -11
 231,     0, -11
 232,     1,  72
 233,     0, -11
 234,     0, -11
 235,     1,  62
 236,     0, -43
 237,     1,  80
 238,     0, -43
 239,     0, -39
 240,     1,  89
 241,     0, -11
 242,     0, -27
 243,     0, -26
 244,     0, -31
 245,     0, -11
 246,     0, -43
 247,     0, -43
 248,     0, -15
 249,     0, -10
 250,     1,  86
 251,     0, -10
 252,     1,  63
 253,     0, -23
 254,     0, -11
 255,     1,  59
 256,     1,  91
 257,     1,  80
 258,     1,  63
 259,     1,  79
 260,     0, -11
 261,     1,  71
 262,     0, -31
 263,     0, -11
 264,     0, -11
 265,     0, -11
 266,     0, -27
 267,     0, -26
 268,     0, -11
 269,     0, -43
 270,     1,  83
 271,     0, -23
 272,     0, -11
 273,     0, -11
 274,     1,  63
 275,     0, -11
 276,     0, -11
 277,     1,  87
 278,     1,  72
 279,     1,  78
 280,     0, -10
 281,     0, -47
 282,     1,  78
 283,     0, -10
 284,     1,  54
 285,     0, -27
 286,     0, -42
 287,     0, -31
 288,     1,  83
 289,     1,  81
 290,     0, -38
 291,     0, -11
 292,     0, -11
 293,     0, -11
 294,     0, -11
 295,     0, -31
 296,     1,  60
 297,     1,  67
 298,     0, -11
 299,     0, -43
 300,     0, -43
 301,     0, -10
 302,     0, -35
 303,     1,  85
 304,     0, -15
 305,     0, -11
 306,     0, -19
 307,     0, -26
 308,     0, -11
 309,     0, -43
 310,     0, -11
 311,     1,  78
 312,     1,  63
 313,     0, -27
 314,     1,  73
 315,     1,  57
 316,     0, -42
 317,     0, -11
 318,     1,  64
 319,     0, -11
 320,     0, -35
 321,     0, -10
 322,     0, -43
 323,     0, -11
 324,     0, -27
 325,     0, -11
 326,     0, -11
 327,     0, -10
 328,     0, -11
 329,     0, -15
 330,     1,  71
 331,     0, -11
 332,     1,  89
 333,     1,  66
 334,     0, -11
 335,     0, -23
 336,     1,  85
 337,     1,  92
 338,     0, -11
 339,     0, -27
 340,     0, -10
 341,     0, -43
 342,     1,  62
 343,     0, -11
 344,     0, -10
 345,     1,  83
 346,     0, -11
 347,     0, -14
 348,     0, -31
 349,     0, -19
 350,     0, -11
 351,     0, -11
 352,     1,  68
 353,     0, -11
 354,     0, -43
 355,     1,  72
 356,     0, -10
 357,     1,  57
 358,     0, -11
 359,     0, -31
 360,     0, -38
 361,     0, -11
 362,     0, -11
 363,     1,  70
 364,     0, -11
 365,     0, -14
 366,     1,  85
 367,     1,  53
 368,     1,  83
 369,     0, -35
 370,     0, -11
 371,     0, -19
 372,     0, -11
 373,     0, -51
 374,     0, -10
 375,     0, -11
 376,     0, -27
 377,     1,  71
 378,     0, -42
 379,     0, -43
 380,     0, -11
 381,     0, -43
 382,     0, -43
 383,     0, -11
 384,     0, -10
 385,     0, -11
 386,     0, -31
 387,     0, -43
 388,     1,  79
 389,     0, -11
 390,     0, -43
 391,     0, -26
 392,     0, -19
 393,     0, -43
 394,     0, -11
 395,     1,  88
 396,     1,  59
 397,     0, -43
 398,     1,  89
 399,     1,  54
 400,     0, -11
 401,     0, -10
 402,     0, -11
 403,     0, -11
 404,     0, -51
 405,     0, -43
 406,     0, -31
 407,     0, -18
 408,     0, -27
 409,     0, -11
 410,     1,  73
 411,     0, -27
 412,     1,  82
 413,     1,  71
 414,     1,  88
 415,     0, -27
 416,     1,  59
 417,     0, -39
 418,     0, -27
 419,     1,  90
 420,     1,  49
 421,     0, -11
 422,     1,  69
 423,     0, -11
 424,     1,  76
 425,     1,  68
 426,     0, -10
 427,     0, -43
 428,     0, -43
 429,     1,  58
 430,     0, -11
 431,     0, -30
 432,     0, -43
 433,     1,  78
 434,     0, -39
 435,     1,  81
 436,     0, -11
 437,     1,  63
 438,     0, -27
 439,     0, -11
 440,     1,  88
 441,     0, -11
 442,     0, -11
 443,     0, -43
 444,     1,  78
 445,     0, -11
 446,     0, -10
 447,     0, -15
 448,     1,  92
 449,     0, -11
 450,     0, -11
 451,     0, -47
 452,     0, -10
 453,     0, -15
 454,     0, -11
 455,     0, -11
 456,     0, -11
 457,     0, -27
 458,     0, -42
 459,     0, -11
 460,     0, -35
 461,     1,  87
 462,     1,  59
 463,     0, -43
 464,     0, -11
 465,     1,  66
 466,     0, -10
 467,     1,  92
 468,     0, -11
 469,     0, -10
 470,     1,  60
 471,     1,  78
 472,     0, -11
 473,     1,  58
 474,     1,  53
 475,     1,  69
 476,     0, -10
 477,     0, -27
 478,     0, -43
 479,     0, -15
 480,     0, -11
 481,     0, -11
 482,     0, -10
 483,     1,  72
 484,     1,  62
 485,     0, -11
 486,     1,  87
 487,     0, -11
 488,     0, -11
 489,     1,  87
 490,     0, -11
 491,     0, -10
 492,     1,  70
 493,     0, -11
 494,     0, -34
 495,     0, -11
 496,     0, -11
 497,     0, -23
 498,     0, -11
 499,     0, -23
 500,     0, -10
 501,     0, -11
 502,     0, -19
 503,     0, -35
 504,     0, -11
 505,     0, -27
 506,     0, -10
 507,     0, -11
 508,     0, -31
 509,     0, -11
 510,     0, -11
 511,     0, -11
 512,     1,  54
 513,     0, -43
 514,     0, -11
 515,     0, -15
 516,     0, -31
 517,     0, -11
 518,     0, -10
 519,     0, -43
 520,     1,  63
 521,     0, -11
 522,     1,  53
 523,     0, -14
 524,     0, -43
