nExp, valid,  A0,  A1
   0,     1,  57, -11
   1,     0, -10, -30
   2,     1, -42,  58
   3,     1, -23,  73
   4,     1,  57, -11
   5,     0, -38, -10
   6,     1,  93,  -3
   7,     1,  66, -42
   8,     0, -43, -11
   9,     1,  68, -24
  10,     0, -10, -22
  11,     1,  79, -13
  12,     0, -43, -11
  13,     0, -19, -11
  14,     0, -11, -11
  15,     0, -11, -47
  16,     0, -34, -10
  17,     0, -39, -11
  18,     0, -11, -11
  19,     0, -11, -19
  20,     0, -11, -11
  21,     0, -35, -27
  22,     1,  58, -14
  23,     1, -26,  58
  24,     0, -11, -11
  25,     1,  62, -10
  26,     1,  92,  -4
  27,     1,  67, -13
  28,     0, -27, -11
  29,     0, -11, -11
  30,     1,  69, -11
  31,     1,  89,  -3
  32,     1,  79,  -5
  33,     0, -11, -15
  34,     0, -19, -23
  35,     0, -15, -19
  36,     1,  91,  -5
  37,     0, -11, -11
  38,     1,  -9,  63
  39,     1,  89, -11
  40,     1,  79,  -5
  41,     0, -15, -11
  42,     1, -16,  60
  43,     1,  79,  -5
  44,     0, -23, -43
  45,     1, -31,  73
  46,     1,  81, -15
  47,     1,  92,  -4
  48,     0, -15, -23
  49,     1,  60, -32
  50,     1, -18,  90
  51,     0, -19, -11
  52,     0, -23, -43
  53,     0, -11, -35
  54,     0, -26, -10
  55,     0, -43, -19
  56,     1, -14,  70
  57,     1,  89,  -3
  58,     0, -43, -11
  59,     0, -11, -43
  60,     0, -23, -11
  61,     0, -11, -11
  62,     0, -11, -11
  63,     1,  62, -10
  64,     1,  63,  -9
  65,     1,  -6,  86
  66,     0, -43, -27
  67,     0, -51, -39
  68,     1, -10,  82
  69,     0, -11, -11
  70,     0, -26, -10
  71,     1,  69,  -7
  72,     1,  90,  -2
  73,     1,  -6,  90
  74,     0, -27, -11
  75,     1,  58, -26
  76,     0, -11, -35
  77,     0, -31, -11
  78,     1,  72,  -8
  79,     0, -14, -10
  80,     1,  84,  -8
  81,     1,  87,  -9
  82,     0, -11, -23
  83,     1,  93,  -3
  84,     1,  88, -16
  85,     0, -11, -19
  86,     0, -43, -47
  87,     0, -19, -15
  88,     0, -11, -19
  89,     0, -42, -22
  90,     1,  -9,  75
  91,     0, -42, -18
  92,     0, -23, -11
  93,     1,  -9,  75
  94,     1,  93,  -3
  95,     1,  70,  70
  96,     1, -22,  66
  97,     0, -10, -34
  98,     1, -30,  58
  99,     0, -11, -11
 100,     0, -35, -11
 101,     0, -31, -11
 102,     0, -30, -10
 103,     1,  -5,  87
 104,     1,  -6,  86
 105,     0, -11, -11
 106,     0, -43, -43
 107,     0, -11, -15
 108,     1,  81,  -7
 109,     0, -11, -23
 110,     1, -20,  72
 111,     0, -10, -10
 112,     0, -11, -11
 113,     1, -42,  58
 114,     0, -11, -35
 115,     0, -11, -27
 116,     0, -11, -43
 117,     1,  75,  -9
 118,     0, -11, -23
 119,     0, -11, -43
 120,     0, -11, -11
 121,     0, -42, -22
 122,     0, -11, -11
 123,     1,  70, -26
 124,     0, -43, -11
 125,     0, -35, -11
 126,     0, -11, -35
 127,     0, -43, -11
 128,     1,  87,  -5
 129,     0, -11, -11
 130,     1,  -9,  67
 131,     1,  79,  -5
 132,     0, -34, -10
 133,     0, -27, -15
 134,     1,  71,  -9
 135,     0, -11, -19
 136,     1,  -6,  86
 137,     1,  54, -18
 138,     0, -10, -14
 139,     1,  59,  -9
 140,     1,  68,  -8
 141,     1,  -9,  59
 142,     0, -31, -11
 143,     0, -43, -11
 144,     1,  -6,  82
 145,     1,  -7,  93
 146,     1,  -5,  83
 147,     0, -11, -31
 148,     1, -13,  59
 149,     0, -43, -43
 150,     0, -11, -27
 151,     0, -11, -11
 152,     0, -39, -19
 153,     1,  -9,  59
 154,     0, -11, -43
 155,     0, -27, -31
 156,     0, -27, -35
 157,     1,  64,  -8
 158,     0, -26, -34
 159,     1, -19,  73
 160,     0, -31, -31
 161,     1,  85,  -7
 162,     1,  79,  -5
 163,     1, -25,  75
 164,     0, -15, -39
 165,     1, -30,  74
 166,     1,  77,  -7
 167,     0, -31, -43
 168,     0, -11, -15
 169,     0, -15, -11
 170,     1,  76,  -8
 171,     0, -10, -10
 172,     0, -31, -11
 173,     0, -31, -15
 174,     1,  88,  -4
 175,     0, -10, -46
 176,     0, -51, -19
 177,     1,  -8,  68
 178,     0, -11, -11
 179,     1, -23,  69
 180,     0, -43, -15
 181,     0, -11, -31
 182,     0, -11, -27
 183,     1,  94,  -2
 184,     0, -31, -11
 185,     1,  -7,  81
 186,     0, -15, -11
 187,     0, -42, -10
 188,     0, -11, -11
 189,     0, -11, -11
 190,     0, -47, -11
 191,     0, -19, -11
 192,     0, -11, -11
 193,     0, -10, -10
 194,     0, -11, -47
 195,     0, -11, -43
 196,     0, -15, -11
 197,     1,  69,  -7
 198,     1, -31,  73
 199,     0, -43, -11
 200,     1, -35,  85
 201,     0, -43, -11
 202,     0, -39, -11
 203,     0, -42, -10
 204,     0, -35, -43
 205,     0, -11, -23
 206,     0, -43, -11
 207,     1, -10,  70
 208,     1,  59,  -9
 209,     0, -23, -43
 210,     0, -11, -43
 211,     1,  69,  -7
 212,     1,  76, -36
 213,     1,  63,  -9
 214,     1,  77,  -7
 215,     0, -47, -43
 216,     0, -11, -31
 217,     0, -31, -27
 218,     1,  92,  -4
 219,     1,  93,  -3
 220,     0, -11, -19
 221,     0, -11, -39
 222,     1,  -3,  89
 223,     1,  86, -10
 224,     1,  80,  -4
 225,     0, -11, -35
 226,     1,  83,  -5
 227,     1, -11,  69
 228,     0, -10, -10
 229,     0, -11, -19
 230,     0, -27, -19
 231,     0, -11, -11
 232,     1,  69,  -7
 233,     1,  79,  -9
 234,     0, -11, -15
 235,     1,  64, -36
 236,     1, -14,  58
 237,     1,  62, -14
 238,     1, -16,  60
 239,     0, -43, -11
 240,     1,  -9,  59
 241,     0, -11, -11
 242,     1,  61, -11
 243,     0, -38, -22
 244,     0, -23, -43
 245,     0, -11, -11
 246,     1, -10,  58
 247,     0, -10, -42
 248,     0, -31, -11
 249,     0, -11, -11
