nExp, valid,  A0,  A1,  A2
   0,     1,  70, -42, -10
   1,     1, -19,  81,  -7
   2,     1, -43, -11,  53
   3,     1, -38, -18,  58
   4,     0, -11, -47, -11
   5,     1, -32,  80,  -8
   6,     1, -10,  58, -10
   7,     1, -27, -23,  77
   8,     1,  86, -42, -30
   9,     0, -10, -42, -14
  10,     1, -10,  70, -10
  11,     0, -39, -11, -23
  12,     1,  -2,  94,  -2
  13,     0, -11, -31, -11
  14,     0, -11, -11, -19
  15,     0, -11, -43, -43
  16,     1, -10, -10,  58
  17,     1, -17,  -9,  67
  18,     0, -11, -11, -19
  19,     0, -10, -10, -30
  20,     0, -23, -11, -19
  21,     0, -11, -39, -31
  22,     0, -11, -11, -43
  23,     1,  89,  -3,  -3
  24,     0, -11, -27, -11
  25,     1,  58, -10, -10
  26,     1,  -4,  84,  -4
  27,     1,  -9,  79,  -5
  28,     0, -39, -11, -11
  29,     0, -10, -10, -10
  30,     0, -27, -39, -43
  31,     1,  79,  -5,  -5
  32,     1, -21,  91,  -5
  33,     0, -10, -26, -10
  34,     0, -11, -31, -35
  35,     1, -14, -18,  74
  36,     0, -43, -11, -11
  37,     0, -11, -19, -27
  38,     1,  88,  -4,  -4
  39,     1,  75, -29, -13
  40,     1,  -6,  86, -30
  41,     0, -11, -23, -31
  42,     1, -29,  59,  -9
  43,     1,  54, -10, -42
  44,     0, -10, -38, -42
  45,     1,  -6,  74, -26
  46,     1,  -8,  -4,  88
  47,     1,  92,  -4, -12
  48,     0, -31, -11, -31
  49,     0, -43, -11, -43
  50,     1,  62, -10, -10
  51,     0, -27, -11, -11
  52,     0, -35, -43, -11
  53,     0, -43, -23, -11
  54,     1,  75,  -9,  -9
  55,     0, -43, -27, -11
  56,     0, -39, -19, -11
  57,     1,  59,  -9, -41
  58,     0, -11, -43, -27
  59,     1,  74, -22,  -6
  60,     1, -10, -10,  70
  61,     0, -11, -11, -11
  62,     0, -10, -10, -26
  63,     1, -38, -42,  62
  64,     1, -26,  58, -10
  65,     1,  71,  -9, -25
  66,     1, -42,  66, -10
  67,     1,  84,  -4,  -4
  68,     0, -31, -11, -11
  69,     0, -11, -11, -15
  70,     0, -39, -11, -11
  71,     1,  -3,  -3,  85
  72,     0, -43, -11, -11
  73,     1,  -8,  -8,  72
  74,     1, -13,  -9,  71
  75,     1, -10,  70, -42
  76,     1,  71, -25,  -9
  77,     1,  70, -14, -22
  78,     0, -42, -10, -10
  79,     1,  83,  -9, -17
  80,     0, -39, -23, -11
  81,     1,  -6,  -6,  90
  82,     0, -30, -10, -10
  83,     1,  86, -22, -26
  84,     1,  63,  -9, -41
  85,     1,  -7,  -7,  89
  86,     1,  -5,  79, -17
  87,     0, -23, -35, -11
  88,     0, -15, -27, -11
  89,     1, -41,  71,  -9
  90,     0, -15, -35, -39
  91,     0, -43, -11, -31
  92,     0, -10, -10, -30
  93,     1,  82,  -6,  -6
  94,     1,  -8, -32,  72
  95,     1,  -4,  -4,  88
  96,     1,  -7,  77, -19
  97,     1,  -8,  68, -24
  98,     1, -27,  73,  -7
  99,     0, -10, -10, -10
 100,     1,  -5,  91, -17
 101,     1, -34, -10,  70
 102,     1,  -6,  -6,  78
 103,     0, -35, -11, -43
 104,     1,  -8,  68,  -8
 105,     0, -11, -11, -11
 106,     1,  -7,  -7,  65
 107,     0, -27, -11, -11
 108,     1,  87,  -5,  -5
 109,     1,  -9,  -9,  79
 110,     0, -11, -43, -11
 111,     0, -11, -11, -11
 112,     0, -15, -27, -11
 113,     1,  59,  -9, -25
 114,     1,  66, -10, -10
 115,     0, -11, -35, -11
 116,     1,  93,  -3,  -3
 117,     1,  -8,  72,  -8
 118,     0, -35, -27, -11
 119,     1,  -8,  68,  -8
 120,     0, -11, -11, -11
 121,     0, -47, -11, -11
 122,     0, -18, -10, -10
 123,     1,  85, -11,  -7
 124,     1,  92,  -8,  -4
 125,     1,  -8,  -8,  72
 126,     1, -33,  83,  -9
 127,     1,  89,  -7,  -3
 128,     1,  -9, -41,  71
 129,     0, -11, -11, -27
 130,     1,  -5,  -5,  83
 131,     1,  -4,  -4,  84
 132,     0, -10, -10, -42
 133,     1,  -8, -16,  80
 134,     0, -43, -11, -39
 135,     0, -10, -10, -30
 136,     0, -31, -43, -11
 137,     1,  70,  -6, -10
 138,     0, -11, -27, -11
 139,     0, -47, -19, -11
 140,     1,  58, -42, -10
 141,     1,  -8, -36,  64
 142,     0, -35, -11, -11
 143,     1,  -3,  -3,  89
 144,     1, -21,  -9,  59
 145,     1, -21,  79,  -9
 146,     1,  93,  -7,  -3
 147,     1,  -9, -25,  79
 148,     1,  78, -10,  -6
 149,     1, -20,  88,  -4
 150,     0, -11, -35, -15
 151,     0, -11, -11, -11
 152,     0, -15, -15, -43
 153,     1,  -7,  65,  -7
 154,     1, -15,  -7,  69
 155,     1, -25,  75,  -9
 156,     1,  -8,  -8,  72
 157,     1,  78,  -6, -26
 158,     1,  66, -34, -30
 159,     1, -10,  -6,  74
 160,     0, -39, -35, -11
 161,     1,  -7, -19,  85
 162,     0, -42, -30, -10
 163,     1,  87, -29, -33
 164,     1, -22,  62, -10
 165,     0, -42, -10, -26
 166,     1,  74, -42, -10
 167,     1,  70, -42, -30
 168,     0, -18, -10, -10
 169,     0, -27, -11, -11
 170,     0, -23, -15, -43
 171,     0, -11, -11, -27
 172,     0, -11, -43, -15
 173,     1,  -9,  71,  -9
 174,     0, -10, -30, -42
 175,     0, -11, -51, -11
 176,     0, -43, -31, -11
 177,     1, -10,  70, -42
 178,     0, -11, -19, -11
 179,     1,  83,  -5,  -5
 180,     0, -43, -27, -27
 181,     0, -11, -23, -43
 182,     0, -10, -30, -10
 183,     1, -11,  61, -43
 184,     1, -15,  85,  -7
 185,     1,  -4,  92,  -4
 186,     0, -22, -14, -10
 187,     0, -11, -43, -11
 188,     0, -11, -11, -11
 189,     0, -15, -11, -27
 190,     1, -40,  76,  -8
 191,     0, -11, -31, -23
 192,     0, -11, -11, -11
 193,     0, -11, -15, -11
 194,     1,  -9,  59,  -9
 195,     1, -13,  59,  -9
 196,     0, -31, -11, -11
 197,     1, -11, -11,  53
 198,     1,  60, -24, -32
 199,     1,  -3,  89,  -3
 200,     0, -51, -11, -11
 201,     1,  85,  -3, -11
 202,     0, -27, -11, -43
 203,     1,  90,  -2,  -2
 204,     1, -18,  70,  -6
 205,     0, -11, -11, -31
 206,     1,  53, -11, -19
 207,     0, -34, -22, -10
 208,     0, -11, -11, -43
 209,     0, -11, -47, -39
 210,     1,  -2,  -2,  94
 211,     0, -11, -11, -47
 212,     1,  74,  -6, -10
 213,     1,  -8,  -8,  60
 214,     1,  58, -10, -26
 215,     1, -15,  93, -11
 216,     0, -11, -35, -11
 217,     1, -29,  79,  -9
 218,     1,  87,  -5,  -5
 219,     1, -23,  89, -31
 220,     0, -10, -22, -18
 221,     1, -28,  -8,  80
 222,     1,  89,  -7,  -7
 223,     1,  88,  -8,  -8
 224,     1,  84,  -4, -16
 225,     1,  66, -10, -34
 226,     0, -19, -43, -11
 227,     1, -42,  66, -34
 228,     0, -11, -11, -11
 229,     1,  -7, -11,  89
 230,     0, -11, -11, -39
 231,     0, -23, -15, -11
 232,     1,  -2,  -2,  90
 233,     1,  -6,  82,  -6
 234,     1,  -9,  83,  -9
 235,     1, -27, -27,  65
 236,     1,  64,  -8,  -8
 237,     1,  -9,  63,  -9
 238,     1, -11,  85,  -3
 239,     1,  68, -32,  -8
 240,     1,  -3,  89,  -3
 241,     0, -11, -23, -11
 242,     0, -43, -31, -31
 243,     1,  62, -30, -10
 244,     1,  -4,  -4,  88
 245,     0, -11, -23, -11
 246,     1,  94,  -2,  -2
 247,     1, -11,  53, -19
 248,     1,  -8,  76,  -8
 249,     0, -23, -11, -19
 250,     0, -43, -43, -11
 251,     0, -15, -11, -31
 252,     0, -19, -51, -11
 253,     1,  -4, -12,  92
 254,     0, -11, -43, -39
 255,     0, -47, -11, -11
 256,     1, -17,  -5,  91
 257,     1, -11,  53, -11
 258,     0, -10, -42, -10
 259,     1, -36,  88,  -8
 260,     1,  -7,  77,  -7
 261,     1,  59,  -9, -25
 262,     0, -43, -11, -31
 263,     0, -11, -11, -39
 264,     1,  83, -17,  -9
 265,     0, -23, -43, -23
 266,     0, -38, -38, -10
 267,     1,  -4,  -4,  84
 268,     0, -11, -27, -11
 269,     1,  79,  -9, -13
 270,     1,  87,  -9, -41
 271,     0, -11, -43, -11
 272,     1,  -9,  71,  -9
 273,     0, -11, -19, -11
 274,     0, -10, -10, -42
 275,     0, -11, -27, -15
 276,     1,  -7, -11,  77
 277,     0, -43, -15, -11
 278,     1,  91,  -5, -21
 279,     1,  75,  -9, -41
 280,     0, -11, -11, -23
 281,     1,  54, -38, -34
 282,     1,  -5,  83,  -5
 283,     0, -11, -11, -11
 284,     1,  54, -34, -10
 285,     0, -42, -10, -10
 286,     0, -11, -31, -47
 287,     1,  92,  -4,  -4
 288,     0, -11, -43, -11
 289,     1,  -2,  -2,  94
 290,     1, -21,  91,  -5
 291,     0, -14, -10, -10
 292,     0, -11, -23, -11
 293,     1,  80,  -8,  -8
 294,     0, -11, -11, -11
 295,     1, -27, -23,  89
 296,     1,  65,  -7, -19
 297,     1,  63,  -9,  -9
 298,     0, -11, -11, -31
 299,     1, -11, -43,  49
 300,     1,  -8,  -8,  60
 301,     0, -15, -11, -11
 302,     0, -11, -35, -43
 303,     1,  65,  -7,  -7
 304,     1,  -7,  81,  -7
 305,     0, -11, -15, -11
 306,     1,  86, -14, -14
 307,     1,  -8,  -8,  68
 308,     1,  70, -30, -10
 309,     0, -51, -43, -27
 310,     0, -10, -10, -14
 311,     1, -11, -11,  53
 312,     1,  -5,  -5,  79
 313,     1, -10,  62, -18
 314,     1, -15,  -7,  65
 315,     1,  -8,  88, -16
 316,     1, -16,  -4,  80
 317,     0, -19, -11, -35
 318,     0, -11, -47, -15
 319,     0, -27, -15, -11
 320,     0, -30, -10, -42
 321,     1, -10, -10,  70
 322,     1,  78,  -6,  -6
 323,     1,  70, -26, -14
 324,     1,  68,  -8,  -8
 325,     0, -27, -11, -23
 326,     0, -11, -31, -11
 327,     1,  81, -11, -19
 328,     0, -11, -11, -19
 329,     1,  66, -10, -10
 330,     1, -21,  63, -33
 331,     0, -11, -11, -35
 332,     1,  -8,  -8,  68
 333,     1,  64,  -8,  -8
 334,     1,  89,  -7,  -7
 335,     0, -11, -43, -23
 336,     0, -47, -15, -11
 337,     1,  59,  -9,  -9
 338,     0, -39, -27, -11
 339,     1,  67,  -9,  -9
 340,     0, -35, -31, -11
 341,     1, -32,  -8,  72
 342,     0, -34, -10, -42
 343,     0, -39, -11, -11
 344,     1, -10,  74, -10
 345,     0, -11, -43, -23
 346,     1,  -6,  -6,  86
 347,     1,  72,  -8, -28
 348,     1,  -4,  -4,  88
 349,     1,  -5,  -5,  83
 350,     0, -11, -11, -11
 351,     0, -11, -27, -27
 352,     1,  -6, -18,  70
 353,     0, -11, -15, -11
 354,     1,  -2, -10,  94
 355,     0, -43, -23, -27
 356,     0, -11, -27, -11
 357,     0, -11, -43, -47
 358,     0, -26, -10, -10
 359,     1,  62, -38, -10
 360,     1, -36,  68,  -8
 361,     0, -11, -31, -39
 362,     0, -27, -31, -23
 363,     1, -10,  58, -10
 364,     0, -19, -11, -11
 365,     1, -10,  66,  62
 366,     1, -26,  82,  -6
 367,     0, -47, -11, -11
