nExp, valid,  A0,  A1,  A2,  A3
   0,     1,  53, -35, -11, -11
   1,     1,  90, -18,  -6, -14
   2,     1, -31, -31, -43,  53
   3,     1, -10, -42,  58, -10
   4,     0, -43, -31, -11, -23
   5,     1,  90,  -6, -26,  -6
   6,     0, -43, -11, -11, -11
   7,     1,  77, -15, -27, -31
   8,     1,  64,  -8, -28,  -8
   9,     1,  59, -17, -33, -37
  10,     0, -23, -43, -11, -27
  11,     1, -19, -11,  89, -19
  12,     1, -32,  -8, -24,  84
  13,     0, -35, -11, -11, -11
  14,     0, -10, -10, -26, -10
  15,     0, -19, -43, -11, -11
  16,     1,  87,  -5,  -5,  -5
  17,     1,  77,  -7, -19,  -7
  18,     0, -11, -11, -27, -11
  19,     0, -11, -35, -11, -15
  20,     0, -31, -11, -31, -15
  21,     1,  -5, -13,  87,  -5
  22,     0, -15, -39, -51, -11
  23,     1,  77, -19,  -7, -35
  24,     0, -11, -11, -35, -11
  25,     0, -19, -11, -43, -23
  26,     1,  84,  -4,  -4, -12
  27,     1,  74, -10,  -6, -18
  28,     0, -43, -11, -15, -31
  29,     0, -11, -11, -11, -11
  30,     1,  -7,  81, -35,  -7
  31,     1,  89,  -3,  -3,  -3
  32,     1, -41,  67, -21, -21
  33,     0, -23, -11, -19, -39
  34,     0, -34, -30, -10, -10
  35,     0, -35, -35, -35, -31
  36,     0, -11, -11, -43, -11
  37,     0, -35, -19, -11, -23
  38,     0, -31, -11, -31, -43
  39,     1, -18,  82,  -6,  -6
  40,     0, -15, -11, -43, -11
  41,     1,  85,  -7, -11,  -7
  42,     1, -29, -41,  -9,  63
  43,     0, -43, -11, -11, -31
  44,     1, -19,  69, -11, -27
  45,     1,  88, -16, -16,  -4
  46,     1, -33,  67,  -9, -21
  47,     1,  93,  -3,  -7,  -3
  48,     1, -10,  70, -30, -10
  49,     1,  60, -32, -32,  -8
  50,     1,  -4,  92, -16,  -4
  51,     1,  -8,  -8,  80,  -8
  52,     1, -25, -41,  -9,  67
