nExp, valid,  A0,  A1,  A2,  A3,  A4
   0,     1, -15,  -7, -19, -31,  85
   1,     1, -20,  80,  -8, -28, -32
   2,     1,  -2,  -2,  90, -10,  -2
   3,     0, -43, -43, -11, -11, -11
   4,     0, -31, -27, -19, -15, -43
   5,     1,  -5,  83,  -5,  -5,  -5
   6,     1,  -8,  -8,  -8,  -8,  60
   7,     1,  92, -16,  -4, -16,  -4
   8,     0, -23, -43, -11, -11, -47
   9,     1, -28,  -8, -32,  -8,  60
  10,     1,  -9,  -9, -21,  67,  -9
  11,     1, -19,  85, -23, -19,  -7
  12,     1,  -5, -13,  -5,  -9,  79
  13,     1,  -5,  91,  -5,  -5,  -5
  14,     1, -10,  74, -10, -10, -10
  15,     1,  53, -43, -15, -11, -11
  16,     1,  91,  -5,  -5, -17,  -5
  17,     1,  -4,  -4,  -4,  84,  -4
  18,     0, -11, -35, -11, -11, -11
  19,     1,  -5,  -5,  87,  -5,  -5
  20,     0, -11, -31, -11, -11, -39
  21,     0, -43, -11, -39, -43, -11
  22,     1,  -6,  -6,  70,  -6,  -6
  23,     1,  -2,  -2,  -2,  90,  -2
  24,     0, -11, -11, -39, -11, -27
  25,     0, -11, -43, -11, -11, -19
  26,     1,  -6,  90, -22,  -6, -30
  27,     1, -23, -19, -23,  -7,  65
  28,     0, -11, -11, -43, -27, -11
  29,     0, -11, -11, -11, -11, -23
  30,     0, -11, -39, -47, -43, -11
  31,     1, -31,  -7,  77,  -7, -11
  32,     1, -20,  92,  -4, -12,  -4
  33,     1,  -7,  -7,  -7, -11,  77
  34,     1,  -7, -19,  77,  -7,  -7
  35,     1,  86,  -6, -18,  -6,  -6
  36,     0, -11, -47, -15, -11, -11
  37,     1, -20,  -8,  88, -20,  -8
  38,     1,  70, -26, -14, -42, -10
  39,     1,  -9, -25, -33,  67, -29
  40,     1, -23,  -7,  65,  -7,  -7
  41,     0, -39, -11, -35, -15, -27
  42,     1,  -2, -10,  -2,  -2,  94
  43,     1,  85,  -3,  -3, -11,  -3
  44,     1, -36, -28, -36,  88,  -8
  45,     1, -37,  -9, -41, -29,  59
  46,     0, -15, -11, -11, -43, -43
  47,     1,  -7,  69,  -7, -27,  -7
  48,     1, -10, -10,  66, -38, -10
  49,     1, -26,  74,  -6,  -6,  -6
  50,     0, -11, -43, -11, -11, -43
  51,     1,  -9,  -9,  -9,  71,  -9
  52,     1, -29,  59,  -9, -33,  -9
  53,     0, -31, -23, -31, -11, -43
  54,     0, -31, -11, -43, -11, -11
  55,     1, -21,  -5,  -5,  -5,  87
  56,     1, -17,  -9,  -9,  71, -41
  57,     1, -16,  -4,  80,  -4, -12
  58,     0, -11, -39, -11, -35, -47
  59,     0, -11, -19, -47, -43, -11
  60,     1,  -4,  -4,  -4,  -4,  88
  61,     1,  -9, -13, -17,  -9,  83
  62,     1,  90,  -6,  -6,  -6,  -6
  63,     1,  -5,  79,  -5, -21, -25
  64,     1,  -5,  87,  -5, -13, -21
  65,     0, -23, -11, -11, -11, -43
  66,     1,  54, -10, -10, -38, -10
  67,     1, -26, -22,  -6,  86, -22
  68,     1,  77,  -7,  -7,  -7,  -7
  69,     0, -23, -15, -11, -27, -31
  70,     1,  -8, -24,  68, -28,  -8
  71,     1,  63, -13, -41,  59,  -9
  72,     1,  90,  -2,  -2,  -2,  -2
  73,     0, -11, -43, -11, -27, -15
  74,     0, -11, -11, -27, -11, -43
  75,     1, -24, -12, -36, -32,  88
  76,     1,  -2,  -2,  -2,  -2,  94
  77,     1, -19,  -7,  77,  -7,  -7
  78,     0, -19, -43, -11, -11, -27
  79,     1,  -9,  -9,  -9, -33,  71
  80,     1, -15,  -7, -23,  85,  -7
  81,     0, -11, -11, -11, -27, -43
  82,     0, -43, -39, -27, -23, -19
  83,     0, -30, -10, -42, -10, -42
  84,     1,  -2,  -2, -10,  90,  -2
  85,     0, -11, -11, -43, -11, -11
  86,     1,  -7,  89,  -3,  -3, -15
  87,     1,  -5,  87,  -9,  -5,  -5
  88,     1,  -6,  -6,  -6,  -6,  86
  89,     1,  85,  -3,  -3,  -7,  -3
  90,     1,  -4,  -8,  -4,  92,  -4
  91,     1,  65,  -7, -19,  -7,  -7
  92,     1,  -7,  -7,  -7,  -7,  73
  93,     1,  -5,  -5,  -5,  -5,  83
  94,     1, -12, -12,  92,  -4, -16
  95,     1,  -2,  -2,  -2,  94,  -6
  96,     1, -15, -11,  69,  -7, -23
  97,     1,  -9, -37, -37,  71, -21
  98,     1,  67, -33, -37, -41, -33
  99,     1, -10, -10, -10,  74, -10
 100,     1,  62, -10, -10, -42, -10
 101,     1,  -5,  -5, -13,  -5,  83
 102,     0, -11, -11, -11, -43, -11
 103,     1, -27,  -7,  73,  -7,  -7
 104,     0, -11, -15, -43, -15, -11
 105,     0, -11, -11, -11, -11, -11
 106,     1,  58, -10, -42, -10, -10
 107,     0, -11, -35, -11, -11, -11
 108,     0, -11, -43, -11, -19, -11
 109,     0, -31, -11, -39, -19, -11
 110,     1, -38, -18,  58, -10, -10
 111,     0, -11, -11, -11, -27, -27
 112,     1,  -6,  -6,  86,  -6,  -6
 113,     1, -43, -11,  61, -43, -35
 114,     1,  -6,  -6,  -6,  -6,  78
 115,     1, -10, -10, -10,  62, -10
 116,     1, -25, -13, -33,  59,  -9
 117,     1, -37,  71,  -9,  -9,  -9
 118,     0, -38, -18, -30, -10, -34
 119,     1,  -6,  -6,  78,  -6,  -6
 120,     0, -27, -23, -11, -11, -11
 121,     1, -41,  -9,  -9,  83,  -9
 122,     0, -11, -11, -15, -11, -35
 123,     1,  65, -31, -19, -23, -15
 124,     1,  88, -12,  -4,  -4,  -4
 125,     1, -17,  -9,  -9,  63,  -9
 126,     1,  -4,  -4,  -4,  -4,  84
 127,     1, -31, -19,  89, -19, -35
 128,     1,  -2,  -2,  -2,  -2,  90
 129,     0, -39, -11, -11, -11, -11
 130,     1,  74,  -6,  -6,  -6,  -6
 131,     1,  90,  -6, -30,  -6,  -6
 132,     1,  -8,  -8, -12,  64,  -8
 133,     0, -14, -10, -10, -10, -38
 134,     1,  -9,  59,  -9,  -9, -33
 135,     0, -11, -11, -39, -11, -15
 136,     1,  78,  -6, -22, -18,  -6
 137,     1, -35,  -7, -11,  -7,  77
 138,     1,  -8,  -8,  -8,  -8,  76
 139,     1,  60, -20,  -8, -16,  -8
 140,     1,  -9, -37, -17, -29,  59
 141,     0, -43, -47, -11, -19, -11
 142,     1,  83,  -9, -33, -13, -29
 143,     1,  -8,  -8,  60,  -8,  -8
 144,     1,  63,  -9,  -9, -33,  -9
 145,     1,  -6,  -6,  -6,  70, -26
 146,     1,  -3,  -3, -11,  85,  -3
 147,     0, -35, -11, -23, -43, -11
 148,     1,  -5,  -9,  -5, -25,  79
 149,     0, -43, -23, -43, -43, -11
 150,     1,  -5,  -5,  -9,  83,  -5
 151,     0, -10, -10, -10, -10, -10
 152,     0, -31, -15, -43, -43, -11
 153,     1,  -4,  84,  -4,  -4,  -4
 154,     1,  78, -18,  -6,  -6,  -6
 155,     0, -23, -11, -43, -43, -11
 156,     1,  -6,  78, -18, -10, -22
 157,     1, -10, -42,  54, -10, -10
 158,     1,  -5,  -5, -13, -17,  79
 159,     1, -36, -12,  -8, -36,  88
 160,     1,  -3,  -3,  -7,  93,  -3
 161,     1, -37, -13,  -9,  -9,  67
 162,     1, -16,  -4,  -4,  88,  -4
 163,     1, -38,  62, -22, -10, -34
 164,     1,  -6,  -6,  74, -18,  -6
 165,     1,  65,  -7, -23, -31,  -7
 166,     1, -23,  -7,  -7,  89, -35
 167,     1,  81, -31, -23,  -7,  -7
 168,     1, -13, -29,  79,  -9,  -9
 169,     0, -11, -11, -11, -43, -11
 170,     0, -22, -30, -26, -42, -38
 171,     0, -39, -11, -11, -11, -27
 172,     1,  67, -17, -17,  -9, -25
 173,     0, -43, -11, -31, -11, -43
 174,     1,  91, -13, -21,  -5,  -5
 175,     1,  -5, -21,  79,  -5,  -5
 176,     1, -26,  -6,  -6,  -6,  82
 177,     1, -31,  -7,  89, -27,  -7
 178,     0, -30, -10, -10, -10, -10
 179,     1,  -3, -11,  -3,  85,  -3
 180,     1, -29, -41,  -9, -21,  71
 181,     1, -10, -42,  70, -10, -10
 182,     1,  -7,  -7,  -7,  77,  -7
 183,     1,  73, -23, -35,  -7,  -7
 184,     1,  -5,  91, -13,  -5,  -5
 185,     0, -27, -11, -43, -43, -15
 186,     0, -26, -10, -10, -34, -10
 187,     0, -11, -23, -11, -11, -47
 188,     0, -11, -15, -15, -11, -11
 189,     1, -21, -17,  79, -25,  -9
 190,     1,  80,  -8, -12,  -4,  -4
 191,     1, -10, -38, -22,  70, -10
 192,     1, -18, -10,  74, -10, -10
 193,     0, -18, -22, -10, -10, -10
 194,     0, -11, -43, -39, -11, -11
 195,     1, -10,  54, -10, -10, -30
 196,     1, -10, -14, -10,  66, -30
 197,     0, -10, -10, -42, -10, -10
 198,     1,  59,  -9,  -9, -17,  -9
 199,     1,  -8,  -8,  -8,  -8,  60
 200,     1, -16,  88,  -4,  -4, -16
 201,     1, -42,  74, -42, -10, -34
 202,     1, -10, -34, -30,  58, -14
 203,     1,  65, -11, -15,  -7,  -7
 204,     1,  93, -11,  -3,  -3,  -7
 205,     1,  -9,  -9,  71,  -9,  -9
 206,     1,  89,  -3,  -3,  -3,  -3
 207,     0, -11, -11, -11, -11, -43
 208,     1, -11, -23,  53, -11, -11
 209,     1,  -4,  84,  -4,  -4, -12
 210,     1,  -7,  -3,  93,  -7,  -3
 211,     1,  -3,  -3,  85,  -3,  -3
 212,     1,  -3, -11,  -7, -15,  93
 213,     1,  -3,  -3,  89,  -3,  -3
