nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5
   0,     1, -31,  -7,  -7, -11,  81, -11
   1,     1,  -7,  73, -19, -27,  -7, -11
   2,     1, -11, -11,  53, -43, -11, -39
   3,     1,  69, -15,  -7, -19,  -7, -31
   4,     1,  86, -30, -10, -10, -42, -22
   5,     1, -27,  -7, -19,  -7,  73,  -7
   6,     0, -10, -18, -18, -10, -42, -10
   7,     1,  64,  -8, -32, -36, -36, -32
   8,     1,  -4,  -4, -12,  -4,  84,  -4
   9,     1,  -6, -22,  -6,  -6,  70, -14
  10,     0, -11, -43, -11, -35, -35, -11
  11,     1,  -3,  -3,  -3,  93,  -3,  -3
  12,     1,  86,  -6,  -6,  -6, -26, -14
  13,     1,  -4,  -4,  -4,  -4,  88,  -4
  14,     1, -10, -18, -30,  86, -10, -10
  15,     1, -11,  65,  -7,  -7,  -7,  65
  16,     1,  -8,  -8,  64, -20,  -8,  -8
  17,     1, -13,  -5,  79,  -5,  -5,  -5
  18,     1,  -7,  -7,  81,  -7,  -7,  -7
  19,     1,  -6,  -6,  -6,  -6,  -6,  78
  20,     1,  70, -10, -34, -22, -26, -10
  21,     1,  -6, -18,  -6,  -6, -22,  78
  22,     0, -23, -11, -43, -11, -31, -43
  23,     1, -12, -12,  -4,  84,  -4,  -4
  24,     1,  -8,  -8,  -8,  -8,  72,  -8
  25,     0, -43, -35, -11, -11, -27, -11
  26,     1,  -5, -21,  -9,  -5, -25,  83
  27,     1,  -3,  -3,  -3,  -3,  89,  -3
  28,     1,  92,  -4,  -4,  -4,  -4,  -4
  29,     0, -11, -11, -27, -11, -11, -11
  30,     1, -17, -37, -41,  67, -29,  -9
  31,     1,  84,  -4,  -4,  -4,  -4,  -8
  32,     1, -40, -28,  -8, -20,  68, -20
  33,     1, -10,  62, -22, -10, -34, -10
  34,     1,  -6,  -6,  -6,  -6, -18,  82
  35,     1,  -3,  -3,  -3,  -3,  -3,  93
