nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6
   0,     1, -30, -10, -34, -14, -42,  70, -42
   1,     1, -30, -10,  58, -10, -10, -42, -42
   2,     1, -14, -14, -30,  70,  -6,  -6, -18
   3,     1,  71,  -9,  -9,  -9, -29, -41, -41
   4,     1,  -8,  -8,  -8, -20,  60, -16, -16
   5,     1,  -3,  -3,  93,  -3,  -3,  -3, -15
   6,     0, -22, -10, -22, -10, -42, -14, -10
   7,     1, -13, -21,  -5,  79, -17,  -5, -21
   8,     1,  77,  -7, -27, -23, -35,  -7,  -7
   9,     1, -17,  -5,  -5, -17,  79,  -5,  -5
  10,     1, -34,  78, -26, -10, -10, -10, -42
  11,     1,  -9, -17, -13,  -5,  -5,  79,  -5
  12,     1,  -5,  -5,  87,  -9, -25,  -5,  -5
  13,     1,  -4,  -4,  92,  -4,  -4,  -4,  -4
  14,     1, -22, -10, -22, -10, -10,  66, -10
  15,     1, -19, -47, -11, -11,  57, -43, -11
  16,     1, -21, -37,  -9, -21,  -9,  75, -37
  17,     1,  -6, -22,  90, -10, -18,  -6,  -6
  18,     1,  -6,  -6,  -6,  -6,  -6,  82,  -6
  19,     1,  -8,  84,  -8, -32,  -8, -12,  -8
  20,     1,  -5,  -5,  -5,  87,  -5,  -9,  -5
  21,     1,  -3,  -3,  -3,  -7,  -3,  -3,  93
  22,     1, -16,  -8,  60, -32,  -8, -20,  -8
  23,     1,  -4,  -4,  -4, -20,  -4,  88, -12
  24,     1,  -6,  82,  -6,  -6,  -6,  -6, -10
  25,     0, -27, -35, -23, -39, -27, -11, -43
  26,     1,  -7,  -3,  -3,  -3,  89,  -3,  -3
  27,     1,  76, -28,  -8,  -8, -36, -32,  -8
  28,     1,  -4,  -4,  -4,  -4,  -4,  88,  -8
  29,     1,  -8,  -8,  84,  -8,  -8,  -8,  -8
  30,     1, -33,  67, -41,  -9,  -9,  -9, -37
  31,     1,  70,  -6,  -6, -22,  -6,  -6, -10
  32,     1, -46, -34, -38, -18, -18, -22,  58
