nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7
   0,     0, -15, -39, -11, -11, -11, -11, -43, -11
   1,     1,  -3,  -7,  -3,  -3,  93, -11,  -3,  -3
   2,     1,  -6,  -6, -30, -26,  82, -18,  -6,  -6
   3,     1, -10,  66, -10, -14, -14, -46, -42, -10
   4,     1, -26, -38, -18, -10, -46, -10, -10,  66
   5,     1,  62, -22, -38, -18, -10, -26, -42, -10
   6,     1,  -5,  -5,  -5,  -5,  79,  -5,  -5,  -5
   7,     1,  -7,  -3, -11, -15,  -3,  -7,  89,  -3
   8,     1,  92,  -4,  -4,  -4, -16,  -4, -16,  -4
   9,     1,  -4,  -4, -12,  -4, -16,  -4,  -4,  80
  10,     1,  -7,  -7,  -7, -19, -23,  69,  -7,  -7
  11,     1,  -5,  -5, -13,  -5, -21,  87,  -5, -21
  12,     1,  -8,  -4, -12,  -4,  80,  -4,  -4,  -8
  13,     1,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4
  14,     1,  -9, -17, -29, -21,  87,  -9,  -9,  -9
  15,     0, -11, -47, -19, -11, -35, -51, -11, -31
  16,     1, -36, -24, -16,  -8, -28, -16,  84,  -8
  17,     1, -21,  -5,  83,  -5,  -5,  -5, -13,  -5
  18,     1, -27, -11,  61, -27, -11, -11, -11, -15
  19,     1,  -9, -33, -13, -21,  -9,  -9, -21,  87
  20,     0, -43, -23, -39, -11, -15, -15, -11, -35
  21,     1,  -9, -37, -37,  -9, -17, -37,  67,  -9
  22,     1, -15,  73, -35,  -7,  -7,  -7,  -7,  -7
  23,     1,  -3,  -3,  -3, -11,  89,  -7,  -3,  -3
  24,     1,  -9,  -9, -25,  -9,  -9,  -9,  67,  -9
  25,     1,  -5,  -5,  -5,  -5,  -5,  -5, -21,  91
  26,     1,  -3,  -3,  -3,  -3, -11,  -3,  -3,  85
  27,     1,  -8,  -8,  -8,  80, -40,  68,  -8, -32
  28,     1, -10, -10, -10, -34, -42, -22,  70, -10
  29,     0, -10, -10, -10, -10, -30, -10, -10, -18
  30,     1, -10, -10, -42, -10,  70, -42, -42, -10
  31,     1, -30,  82, -10,  -6,  -6,  -6,  -6,  -6
  32,     1, -16,  -4,  -4,  -4,  -4, -12,  88,  -4
  33,     1,  -5,  -5,  -5, -13,  -9,  -5,  91,  -5
  34,     1, -18,  82,  -6,  -6,  -6,  -6,  -6, -10
  35,     1,  -5,  87,  -5,  -9, -17,  -9, -17, -13
  36,     0, -15, -11, -19, -27, -11, -23, -47, -35
  37,     0, -34, -22, -10, -34, -38, -30, -26, -10
  38,     1,  -7,  -7, -23, -31, -27,  -7,  -7,  77
  39,     1, -13,  -5, -13,  -5,  79, -21,  -5,  -5
  40,     0, -35, -11, -43, -27, -31, -11, -11, -11
  41,     1,  -7,  -7, -19,  -7,  77,  -7, -27,  -7
  42,     1, -10, -42, -10,  62, -42, -10, -10, -42
  43,     1, -21,  -5,  -5,  91,  -9,  -5,  -5,  -5
