nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8
   0,     1, -31, -43, -11, -11, -23, -11, -43, -27,  61
   1,     1, -42, -42,  62, -10, -42, -10, -10, -10, -42
   2,     1,  -9,  -9, -41,  59,  -9,  -9,  -9,  -9,  -9
   3,     1,  -7,  -7,  -7, -23,  -7, -35, -35,  73,  -7
   4,     1, -10, -10, -26, -26, -42, -10, -10,  62, -14
   5,     1,  -5,  -5,  -5,  -5,  -5,  -5, -21,  83, -13
   6,     1,  -6,  -6,  -6,  -6,  70,  -6,  -6,  -6, -10
   7,     1,  -3,  -7,  -7, -11,  -3,  -3,  85,  -3, -11
   8,     1,  -4,  -4,  -4,  -4, -16, -12, -12,  84,  -8
   9,     1,  -4, -16,  -4,  -4, -20,  -4,  -4,  80,  -4
  10,     1,  -8,  -8,  -4,  -4,  84,  -4,  -4,  -4,  -4
  11,     1,  -4,  -4,  -4, -16,  -4,  88, -16,  -4,  -8
  12,     1, -12,  -4,  -4,  -4, -20,  -8,  92, -16,  -4
  13,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93,  -3
  14,     1,  -7,  -7,  -7,  -7, -11,  -7,  89,  -7, -27
  15,     1,  -4, -20,  -4,  -4,  -4,  80,  -4, -12,  -4
  16,     1, -30, -10, -38, -10, -10, -10,  66, -10, -42
  17,     1, -23,  -7, -15, -23,  81,  -7,  -7,  -7, -35
  18,     1,  -7,  -7,  89,  -7,  -7,  -7,  -7,  -7, -23
  19,     1, -22, -10, -14, -18, -14, -18, -10, -34,  58
  20,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  93
  21,     1, -10, -42, -10, -10, -42, -10, -22, -10,  58
  22,     0, -10, -10, -42, -14, -34, -10, -30, -10, -42
  23,     1,  -9,  67,  -9, -41, -41, -13,  -9,  -9, -29
  24,     1,  -8,  -8,  -8,  -8, -32,  -8,  -8,  76,  -8
  25,     1, -25, -21,  -9,  -9,  71,  -9, -41,  -9,  -9
  26,     1, -10, -26, -30, -10, -42, -38, -18, -46,  58
  27,     1,  -6,  -6,  -6, -26, -26,  -6,  78, -10,  -6
  28,     1, -24,  -8,  80, -32,  -8,  -8,  -8,  -8, -16
  29,     1,  -8,  -8,  -8,  -8,  -8,  -8, -12,  -8,  80
  30,     1,  -4,  -4,  84,  -8, -16,  -4,  -4,  -4,  -4
  31,     1, -20,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  84
  32,     1, -30,  86, -18,  -6, -26,  -6,  -6, -26, -10
  33,     1, -22, -38, -34, -10, -10, -10, -22, -30,  70
  34,     1,  -6,  -6,  90,  -6,  -6,  -6,  -6, -26, -26
  35,     1,  66, -10, -42, -22, -42, -10, -10, -10, -42
  36,     0, -10, -10, -30, -10, -10, -10, -46, -26, -14
  37,     1,  -6, -18, -18,  -6,  -6,  86,  -6,  -6, -18
  38,     1,  -5,  -5, -13,  79,  -9,  -5,  -5,  -5, -17
  39,     1, -16,  -8,  -8, -36,  64, -16, -28,  -8, -32
  40,     1,  -3,  93, -15,  -3,  -3,  -3,  -3,  -3,  -3
