nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9
   0,     1,  -7,  -7,  -7,  -7,  81,  -7,  -7,  -7,  -7, -31
   1,     0, -43, -23, -27, -43, -11, -43, -43, -11, -11, -47
   2,     1,  82, -18, -30, -26,  -6,  -6,  -6,  -6,  -6, -22
   3,     1,  -5, -13,  -5,  -5,  -5,  79, -25,  -5,  -5,  -5
   4,     1,  -9, -33,  -9,  -9, -41,  67, -21, -25, -25,  -9
   5,     1,  -8,  -8, -12,  -8,  -8,  80, -36, -16, -24, -20
   6,     1,  -5,  -5,  -5,  -5,  79,  -5,  -5,  -5,  -5,  -9
   7,     1,  74, -22,  -6, -30, -14,  -6, -26,  -6, -30,  -6
   8,     1,  -5,  -5,  -5,  -5, -25, -13,  83,  -5,  -5,  -5
   9,     1, -16,  -4,  -4,  -4,  80,  -4,  -4, -20,  -4, -12
  10,     1, -10, -10, -10,  58, -22, -10, -10, -38, -42, -18
  11,     1,  -4,  88, -16,  -8,  -4, -16, -12,  -4,  -4,  -4
  12,     1,  -3,  -3,  -3,  -3,  89,  -3,  -7,  -3, -11,  -3
  13,     1,  -6,  -6,  -6,  -6,  -6,  -6,  74,  -6, -10,  -6
  14,     1,  -8, -16, -12,  -8,  -8,  -8, -28,  -8, -16,  76
  15,     1,  -6, -30,  -6,  -6,  -6, -26, -18,  86,  -6,  -6
  16,     1, -17,  -5,  -5, -13,  -5,  -5,  -5,  -5,  79,  -5
  17,     0, -39, -11, -15, -11, -23, -19, -31, -27, -43, -11
  18,     1,  -7,  -7,  -7,  -7,  -7,  -7, -23,  -7,  -7,  89
  19,     1, -10, -18, -10, -30, -26, -14, -26,  58, -14, -10
  20,     1,  -5,  -5,  -5,  -5, -13,  -5, -13,  -5,  -5,  91
  21,     1, -31,  -7, -23, -31,  -7,  -7,  -7,  69,  -7,  -7
  22,     1, -19,  -7,  65,  -7,  -7,  -7,  -7, -27, -11,  -7
  23,     1,  -8, -24, -32, -36, -24,  -8, -16,  -8, -12,  64
  24,     1, -10, -10, -38, -22,  66, -10, -10, -10, -22, -10
  25,     0, -11, -39, -11, -11, -15, -11, -43, -11, -31, -35
  26,     1,  -4,  -4,  92,  -4, -20,  -4, -12, -16,  -4,  -4
  27,     1,  -3,  -3,  93,  -3, -15,  -7,  -3,  -3,  -3,  -3
  28,     1,  -4,  -4, -16,  -4,  -4,  -4,  -4,  88,  -8,  -4
  29,     1, -26, -18, -10, -10,  70, -10, -22, -10, -10, -10
  30,     1,  -2,  -2, -10,  94,  -2,  -2,  -2,  -2,  -2,  -2
  31,     1, -31,  -7,  -7,  -7, -23,  -7,  -7,  69,  -7,  -7
  32,     1, -30,  -6, -22, -26,  -6, -10,  74, -22, -18, -18
  33,     1,  -6,  -6,  -6,  -6, -14,  -6,  -6,  -6,  82, -22
  34,     1,  -5,  -5,  -5,  -5,  -5,  -5, -17,  83,  -5,  -5
  35,     1,  73, -23, -27,  -7,  -7,  -7,  -7, -27, -15, -27
  36,     1,  -3,  -3,  -3,  -3,  -3,  -3,  85,  -3,  -3,  -3
  37,     1,  -8,  -4,  -4,  -4,  -4,  92,  -4,  -4, -12,  -4
  38,     1, -18, -14,  -6, -30,  -6,  -6, -18,  90,  -6,  -6
  39,     1, -10, -10,  78, -26, -22,  -6, -18,  -6,  -6,  -6
  40,     1, -36,  -8, -36,  -8, -24,  -8,  -8, -16, -20,  84
  41,     1, -22,  -6,  82,  -6, -14,  -6,  -6,  -6, -10, -10
  42,     1,  -7, -31,  69,  -7,  85,  -7,  -7, -35,  -7, -35
  43,     1, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  89,  -3
  44,     1,  -8,  -4,  -4,  -8,  -4,  80, -16, -20,  -4,  -4
  45,     1, -31,  -7, -35,  -7, -31,  65, -15, -23, -27, -19
  46,     1,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3, -15, -11
  47,     1,  -2,  -2,  -2,  -2,  -2,  -2, -10,  -2,  90,  -2
  48,     1,  -9,  -9,  -9, -13, -21,  -9,  -9, -37,  59,  -9
  49,     1, -41, -25,  -9,  -9,  -9, -41,  59, -21, -25,  -9
  50,     1, -13,  -9,  -9,  83,  -9,  -9, -41, -21,  -9, -41
  51,     1, -18, -10, -34, -10, -10, -10, -14, -10,  58, -10
  52,     1, -25, -41,  -9,  59,  -9, -37, -41, -13,  -9,  -9
  53,     1,  -5,  -5,  -5,  -5,  -9, -13,  -5,  87,  -5, -21
  54,     1,  -8,  -4, -12,  -4,  -4,  -4,  -4,  92,  -4,  -4
  55,     1, -31,  -7,  -7,  -7, -27,  -7,  -7,  85,  -7, -27
  56,     1, -14,  -6,  -6,  -6,  -6, -18,  -6,  -6, -22,  70
  57,     1, -41,  -9,  59, -29, -21,  -9,  -9,  -9,  -9,  59
  58,     1,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2
  59,     1,  -3,  -3,  -3, -11,  -3,  -3,  -3, -11,  93,  -3
  60,     1, -22, -10, -22, -10, -42,  70, -42, -10, -10, -22
  61,     0, -10, -34, -38, -14, -34, -34, -10, -14, -10, -10
  62,     1,  88,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
  63,     1,  -4,  -4,  -4,  -4,  80,  -4, -20,  -4, -16, -12
  64,     1,  -2,  -2,  -2,  -2,  90,  -2,  -2,  -2,  -2,  -2
  65,     1,  -9,  -5,  -5,  -5,  83,  -5,  -5,  -5,  -5, -21
  66,     1, -36,  -8, -16,  64,  -8,  -8,  -8,  -8,  -8,  -8
  67,     1, -40,  64, -24,  -8,  -8, -28, -28, -16, -32, -36
  68,     1,  86,  -6,  -6,  -6,  -6, -26,  -6, -10,  -6,  -6
  69,     1, -10, -10, -18,  62, -22, -38, -30, -10, -26, -42
  70,     1,  -8, -28, -36, -12,  -8,  -8,  -8,  -8,  64, -12
  71,     1, -41,  -9,  59, -33,  -9,  -9, -29,  -9, -41,  -9
  72,     1, -41, -33, -29, -25, -25,  -9, -21,  71, -21,  -9
  73,     1,  -6, -26, -10,  -6,  -6,  -6,  86,  -6, -18,  -6
  74,     1,  -5,  -5,  -9,  -5,  79,  -5,  -5,  -9,  -5,  -5
  75,     1, -17,  -5, -25,  79,  -9,  -5,  -9,  -5,  -5,  -5
  76,     1,  -4, -12,  -4, -16,  -4,  -4,  -4,  -8,  -4,  80
  77,     1,  82,  -6, -26,  -6,  -6, -18,  -6, -10, -18, -10
  78,     1,  -6,  86,  -6,  -6,  -6, -10, -30, -10,  -6, -18
  79,     1,  -6,  -6,  -6, -22,  78,  -6,  -6,  -6, -26, -10
  80,     1,  -4,  -4,  84,  -4,  -4, -12,  -4,  -8, -12,  -4
  81,     0, -11, -31, -11, -15, -43, -15, -11, -11, -39, -35
  82,     1, -14, -22, -18,  -6, -10,  74,  -6,  -6, -14,  -6
  83,     1, -27,  -7, -35,  89, -35,  -7,  -7,  -7,  -7, -35
  84,     1, -27,  -7, -31, -35,  -7, -19,  77,  -7, -15,  -7
  85,     0, -11, -11, -27, -11, -11, -15, -11, -43, -11, -31
  86,     1,  -4,  84, -12,  -4, -20, -20,  -4,  -4, -12,  -4
  87,     1,  -5,  83, -13,  -5,  -5,  -5, -17,  -5,  -5,  -5
  88,     1, -19, -19,  -7,  -7,  81,  -7, -11,  -7,  -7, -31
  89,     1, -41,  67, -13, -41,  -9, -33,  -9,  -9,  -9, -13
  90,     1, -13,  79,  -5, -17,  -5,  -5,  -5,  -5,  -5, -17
  91,     1,  49, -23, -11, -11, -11, -11, -11, -43, -11, -43
  92,     1,  -5,  91,  -5,  -5, -17,  -5,  -5,  -5,  -5, -13
  93,     1,  -9, -33, -17, -13,  71, -13,  -9, -33, -13, -41
  94,     1, -12, -16,  -4,  -4, -20,  -4,  92, -12,  -4,  -4
  95,     1,  -4,  92,  -4,  -4,  -4,  -4,  -4,  -4, -16, -16
  96,     1,  -6,  -6,  -6, -14, -22, -22,  82, -30,  -6,  -6
  97,     1,  -6, -26,  -6, -22, -14,  90, -22, -30, -14, -10
  98,     1, -31,  85, -11, -31,  -7,  -7, -27, -31,  -7, -27
  99,     1,  -5,  -5,  -5,  -5,  -5,  91,  -9,  -5, -13,  -9
 100,     0, -43, -11, -11, -23, -27, -11, -11, -11, -47, -11
 101,     1,  -3,  -3,  89,  -3, -11,  -3,  -3,  -3,  -3,  -3
 102,     0, -10, -14, -10, -10, -10, -10, -26, -10, -42, -10
 103,     1,  -4,  -4,  88,  -4,  -4, -16,  -4,  -4,  -4,  -4
 104,     1, -11, -35, -11, -31, -15, -11, -35,  53, -23, -19
 105,     1,  -8,  88,  -8,  -8,  -8,  -8,  -8, -12,  -8, -20
 106,     1,  78,  -6, -30,  -6,  -6, -26,  -6,  -6,  -6,  -6
 107,     0, -11, -43, -11, -11, -27, -11, -11, -19, -11, -19
 108,     1, -16,  68,  -8,  -8,  -8,  -8, -36,  -8, -24,  -8
 109,     1,  66, -10, -10, -30, -10, -10, -22,  58, -14, -10
 110,     1, -17,  -5,  -5,  -5,  -5,  -5,  -5,  79,  -5,  -5
 111,     1,  -9,  -9,  -9,  67, -33,  -9,  -9, -17,  -9,  -9
 112,     1, -33,  -9,  63,  -9, -33,  -9,  -9,  -9, -13,  -9
 113,     1, -26,  -6,  -6, -26,  -6,  -6,  -6,  74,  -6, -18
 114,     1,  -5,  -5,  -5,  -5,  -5,  91,  -5,  -5,  -5, -25
 115,     1,  -9, -17,  -9,  63,  -9,  -9,  83,  -9, -21, -25
 116,     1,  -5,  -9,  -5,  79,  -5, -17,  -5, -21,  -5,  -9
 117,     1,  63,  -9,  -9,  -9,  -9,  -9, -41,  -9,  -9,  -9
 118,     1,  -3,  -3,  93,  -3,  -3, -11,  -3,  -3,  -3,  -3
 119,     1,  -8, -16,  68,  -8, -20, -24,  -8, -36, -12,  -8
