nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14
   0,     1, -19,  -7,  -7, -11,  77,  -7,  -7, -31,  -7, -31, -35, -27, -11, -31, -27
   1,     1,  -5,  -5,  -5,  -5, -17, -17,  -5,  -5,  -5, -21,  -5,  83,  -9, -21,  -5
   2,     1,  -5,  -5, -25, -25,  -5,  83, -21,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -17
   3,     1, -26, -10, -26, -10, -10,  54, -42, -14, -30, -10, -42, -18, -26, -10, -22
   4,     1,  -4, -12,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4
   5,     1, -13, -17,  -5, -13,  -5,  -5, -25,  91,  -5,  -5,  -5, -17,  -9,  -5, -13
   6,     1,  -4,  -4,  -4,  -4,  80,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12
   7,     1,  -4,  -4,  -4, -20, -12,  -4,  80,  -4, -16,  -4, -20, -20,  -4,  -4,  -4
   8,     1,  -3,  -7,  -3,  -3,  89,  -7,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3, -15
   9,     1,  -4,  -4,  -4,  -4, -20,  -8,  -4, -20,  92,  -4, -16,  -4,  -4,  -4, -16
  10,     1,  -8,  -8,  -8, -16,  -8,  -8,  -8, -32,  -8,  -8,  -8, -16, -32, -40,  76
  11,     1,  78,  -6,  -6,  -6,  -6, -14, -22, -14, -22,  -6,  -6, -26, -30, -22,  -6
  12,     1,  -3, -11,  -3, -11, -11,  -3,  -3,  -3,  89,  -7,  -3,  -3,  -3,  -3,  -3
  13,     1,  -8,  64,  -8,  -8, -24,  -8,  -8, -12, -12,  -8,  -8,  -8, -12, -24,  -8
  14,     1,  -8,  -8,  -8,  -8, -28,  -8,  76,  -8, -24,  -8,  -8, -36, -24,  -8,  -8
  15,     1,  83, -41, -29, -25,  -9, -41, -33, -21,  -9,  -9, -37,  -9,  -9,  -9, -29
  16,     1, -13,  -5,  -5, -17,  -5, -17,  -5,  -5, -25,  91,  -5,  -5, -13,  -5,  -5
  17,     1, -23,  -7,  89, -27,  -7,  -7, -15,  -7, -31,  -7, -23,  -7,  -7,  -7, -15
  18,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  83,  -5,  -5, -13
  19,     1,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4
  20,     1,  -5,  -5,  -5,  -5,  83,  -5,  -5,  -5,  -5, -17,  -5, -21,  -9,  -5,  -5
  21,     1, -10,  -6, -26,  -6,  -6, -10,  -6, -26,  -6,  -6,  70,  -6,  -6, -26,  -6
  22,     1, -25,  -9, -41, -13, -13,  -9, -25, -13,  -9,  -9, -37,  -9, -33,  71,  -9
  23,     1,  -3,  -3,  -3, -11,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11, -15,  -7
  24,     1,  -9, -13, -13, -21, -33,  -9,  -9, -37,  -9, -13,  -9, -13,  -9,  71,  -9
  25,     1,  -4, -12,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
  26,     1,  -5, -17,  83,  -5, -25,  -9,  -5, -25,  -5,  -5, -13, -17,  -5,  -5,  -5
  27,     1, -22,  -6,  -6, -14, -26, -10,  74,  -6,  -6,  -6,  -6,  -6, -26, -18,  -6
  28,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -17,  -5,  -5,  -5, -25,  91,  -5
  29,     1,  81, -15,  -7,  -7,  -7, -11,  -7,  -7,  -7,  -7,  -7, -19, -11,  -7, -27
  30,     1,  -3,  -3, -15,  -3,  -3,  -3, -11,  -7,  -3,  -3,  -3,  -3,  -3,  85,  -3
  31,     1, -16,  -4,  88,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -12
  32,     1, -35, -27, -23,  -7,  -7,  -7, -15, -27, -23,  -7, -19,  -7, -27, -31,  69
  33,     1,  -6,  -6,  -6, -10, -22,  -6,  -6, -14, -22, -10,  -6,  -6,  -6, -22,  78
  34,     1,  -6, -22, -26,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -10,  86,  -6,  -6,  -6
  35,     1,  -5, -17, -17,  -5,  -5, -17,  -5, -17,  -5,  -5,  -5,  -5,  83,  -9, -17
  36,     1,  -6,  90, -14,  -6,  -6, -10, -30,  -6,  -6,  -6, -10,  -6,  -6,  -6, -14
  37,     1,  -9,  -9, -37, -21, -25, -41, -25, -37,  -9,  71, -13, -21, -29, -37, -33
  38,     1,  -6, -18, -14, -30,  -6,  78,  -6,  -6, -14,  -6,  -6, -26,  -6,  -6, -10
  39,     1,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -7, -11,  85,  -3
  40,     1,  -8,  -8, -40,  -8,  -8, -16,  -8,  80,  -8,  -8, -36,  -8, -16, -28, -28
  41,     1,  -4,  -4,  -4,  -4,  -8,  84,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4
  42,     1,  -4, -16,  -4,  -4,  84,  -4,  -4, -20,  -4, -20,  -4, -12, -20,  -4, -12
  43,     1,  60, -20,  -8,  -8, -24,  -8, -24,  -8, -40,  -8,  -8,  -8, -36, -36, -20
  44,     1,  -5, -17,  -5, -17,  -5, -25,  -5, -25,  87,  -5,  -5, -21,  -5,  -5,  -5
  45,     1,  -7,  -7, -31, -27, -31, -35,  -7, -19,  -7, -23, -35, -23, -27,  -7,  77
  46,     1,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -3,  85, -15,  -3,  -3,  -3,  -3,  -3
  47,     1, -28,  -8,  -8,  -8,  -8, -12, -40,  -8,  60, -20, -16, -12, -16,  -8,  -8
  48,     1,  -7,  -7, -31,  69,  -7,  -7, -11,  -7, -15, -19,  -7,  -7,  -7, -11,  -7
  49,     1, -31,  -7,  -7, -23,  -7, -35, -31,  -7,  -7,  -7,  -7,  -7,  77,  -7,  -7
  50,     1,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4, -20,  -4,  92,  -8,  -4,  -4
  51,     1,  -9,  -9,  -9, -37,  -9, -21, -17,  -9,  75,  -9, -25,  -9, -33,  -9, -13
  52,     1, -27, -35, -15,  -7,  -7,  -7,  89,  -7,  -7,  -7, -27, -23,  -7, -35,  -7
  53,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -25, -21, -13,  83,  -5, -13
  54,     1,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -20,  92,  -4
  55,     1, -25,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5,  79,  -5,  -5,  -9,  -5,  -5
  56,     1,  -4,  -4,  -4, -16,  92,  -8,  -4,  -4, -12, -16,  -8,  -4,  -4, -12,  -4
  57,     1, -20,  -4, -20,  -4,  -4,  -4,  -4,  -4,  -4,  80, -12,  -4,  -4,  -8,  -4
  58,     1, -10, -42, -22,  70, -42, -10, -30, -10, -42, -10, -10, -26, -10, -10, -22
  59,     1,  -3,  -3,  -3, -15,  -3,  -3,  -3, -11, -11,  -3,  -3,  -3,  -3,  89,  -3
  60,     1, -33,  -9,  -9,  -9, -21,  -9, -13, -13,  -9,  -9, -29, -37, -25, -17,  59
  61,     1, -18,  -6, -22,  -6, -22,  -6,  -6,  -6,  -6,  -6,  -6,  78, -10,  -6,  -6
  62,     1,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4,  -4
  63,     1,  -9,  -9,  -9,  -9, -41,  -9, -41,  -9,  59, -21, -29, -21,  -9, -33, -37
  64,     1,  -6, -22,  -6, -26, -26,  -6,  78,  -6,  -6, -18,  -6,  -6,  -6, -22,  -6
  65,     1,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79, -13,  -9,  -5,  -5, -21
  66,     1, -31,  -7, -19,  -7,  -7,  -7,  -7,  -7,  -7,  -7, -23,  -7,  89, -35, -15
  67,     1, -31, -19, -23, -27,  -7,  -7, -27,  -7,  -7, -35,  69, -31, -19,  -7,  -7
  68,     1,  84,  -4,  -8,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4,  -4,  -4,  -4
  69,     1,  -9, -13,  -5, -17,  -5, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  -5,  79
  70,     0, -11, -11, -27, -43, -15, -11, -43, -15, -11, -39, -11, -35, -43, -35, -19
  71,     1,  -3,  -3,  89,  -7,  -3,  -3,  -7,  -3, -11,  -3, -15,  -3,  -3,  -3,  -3
  72,     1, -20,  -4,  -4,  -4,  -4,  -4, -12, -12,  -8,  -4,  -4,  -4, -12,  -4,  88
  73,     1,  -5, -13,  -5,  -5,  -5,  -5, -13, -13,  83,  -9,  -5, -21,  -5,  -9,  -5
  74,     1,  -9, -13,  67,  -9,  -9,  -9,  -9, -29,  -9, -37,  -9,  -9,  -9, -17, -41
  75,     1,  -4,  -4, -16,  -8, -12, -12,  88,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -4
  76,     1, -25, -25,  -9, -33,  -9, -25, -37,  -9, -21, -41,  -9,  -9, -37,  59,  -9
  77,     1,  -8,  -4,  -8,  -4,  -4,  88,  -4,  -4,  -8,  -4, -16,  -4, -20,  -4,  -8
  78,     1,  -4,  -4,  -4,  -4,  -4,  -4, -20,  -4,  -4,  88,  -4,  -8,  -8,  -4,  -4
  79,     1,  -7,  -7,  -7, -27, -19,  -7,  -7,  -7, -27,  69,  -7,  -7,  85, -23,  -7
  80,     1,  -4,  -8,  -4,  -4,  -8,  -8,  -4,  -4,  -8,  -4, -16,  -4,  84, -16,  -4
  81,     1,  -8,  -8,  -8,  -8,  -8,  84, -28,  -8, -32,  -8,  -8,  -8,  -8, -16, -36
  82,     1,  89,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -7,  -3,  -3,  -3,  -7
  83,     1, -11,  -7, -31,  -7,  65, -27, -19,  -7, -23, -35,  -7, -15,  -7,  -7,  -7
  84,     1,  -5,  -5, -21, -21,  -5, -17,  -5,  -5,  -5,  -5,  -5, -21,  91, -13,  -5
  85,     1,  -6,  -6,  74,  -6,  -6,  -6,  -6,  -6,  -6, -14,  -6,  -6, -14,  -6,  -6
  86,     1,  -8, -36,  -8, -32, -40,  60, -24, -36, -16,  -8,  -8,  -8,  -8, -12,  -8
  87,     1,  -3,  -7,  -3,  -3,  -3,  -3,  89,  -7,  -3,  -3,  -3,  -3,  -3,  -3,  -3
  88,     1,  92,  -4,  -4,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4, -12
  89,     1, -20,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4,  -4, -16,  -4,  -4,  80,  -4
  90,     1, -32, -24,  -8, -12,  -8,  -8, -12, -28, -36,  -8,  -8, -40,  -8,  60, -32
