nExp, valid,  A0,  A1,  A2,  A3,  A4,  A5,  A6,  A7,  A8,  A9,  A10,  A11,  A12,  A13,  A14,  A15,  A16,  A17,  A18,  A19
   0,     1,  -3, -15,  -3, -11,  -3,  -3,  -3, -11,  -3,  -3,  -3,  -3,  93,  -3,  -3,  -3,  -3,  -3,  -3,  -3
   1,     1, -12,  -4,  -4,  -4,  -4,  -4, -12,  -4,  -4, -20,  -4,  -4,  -8, -20,  -4,  88, -12,  -4,  -4, -16
   2,     1, -27, -31, -35, -31, -11,  -7,  85, -15, -11, -31,  -7,  -7,  -7,  -7,  -7, -11,  -7,  -7, -15,  -7
   3,     1,  -8, -36,  -8,  -8,  -8, -36, -36, -20, -24,  -8,  -8,  -8, -20, -20,  -8, -28,  84, -24,  -8, -20
   4,     1,  -4,  -4,  -4,  -4, -20, -16,  -4,  -8,  88,  -4,  -4, -16,  -4,  -4,  -8,  -4,  -4,  -4,  -4,  -4
   5,     1,  -5,  -5, -13,  -5,  -5, -17, -21,  -9, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -5, -25, -13,  -5,  83
   6,     1,  -4,  -4,  -4,  -4,  84,  -4,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4
   7,     1,  -3,  -7,  -3, -15,  -3,  -3, -11,  -3, -15,  -3, -11, -15,  -3,  93, -11,  -3,  -7,  -3,  -3,  -3
   8,     1, -15,  -7,  -7,  -7, -35,  -7,  -7, -11,  -7,  -7,  -7, -15,  -7,  -7, -31, -31,  65,  -7, -27, -19
   9,     1,  -8,  -4,  -4,  -4,  84,  -4,  -4, -16,  -4, -12, -16,  -4, -12,  -8,  -4,  -4,  -8, -12,  -4,  -4
  10,     1,  -5,  -5,  -5, -13,  -5,  -5,  -5,  83, -17,  -5,  -5,  -5,  -5, -25, -13,  -5,  -5, -21, -13,  -5
  11,     1, -28,  64,  -8, -32,  -8,  -8, -32, -24,  -8,  -8, -28,  -8, -36,  -8, -12, -36, -32,  -8, -12,  -8
  12,     1,  -3,  -3,  -3,  89, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -7, -11,  -3
  13,     1,  -6,  -6, -10,  -6, -18,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6,  -6, -14,  -6,  70,  -6, -18,  -6
  14,     1,  -6,  -6,  -6,  -6,  -6,  -6, -26,  -6, -18,  82,  -6, -18, -18,  -6, -10,  -6,  -6,  -6,  -6,  -6
  15,     1,  -5,  79,  -9, -13,  -5, -21,  -5, -13,  -5,  -5,  -5,  -9,  -5,  -5, -13,  -5, -21,  -5,  -5,  -5
  16,     1, -31, -11, -27,  81,  -7, -27,  -7,  -7, -31, -15, -11,  -7, -19, -27, -27,  -7,  -7, -15,  -7,  -7
  17,     1, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  84,  -4, -16,  -4,  -4,  -4,  -8,  -4,  -4,  -4, -20,  -4
  18,     1,  -3,  -3,  -3,  -3,  -3,  -3,  89,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -3,  -7,  -3,  -3,  -3
  19,     1,  -6,  -6,  -6, -22,  -6, -14, -14,  -6, -10,  -6,  -6,  82,  -6,  -6, -22,  -6,  -6, -30, -14,  -6
  20,     1,  -6, -10,  -6,  -6, -26, -14, -22,  -6, -14, -10,  -6,  -6,  86,  -6, -22,  -6,  -6, -14,  -6, -26
  21,     1, -18,  -6, -26, -10,  -6,  -6,  -6,  -6,  90,  -6, -26,  -6,  -6, -30,  -6,  -6,  -6, -30, -10,  -6
  22,     1,  92,  -4, -16,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -8,  -4, -16,  -8,  -4
  23,     1,  -4,  -4,  -4,  80, -12,  -4,  -4,  -4,  -8,  -4,  -4, -16, -20, -16,  -4,  -4,  -4,  -4,  -4, -20
  24,     1,  -7,  -7,  69,  -7,  -7,  -7, -15,  -7, -15, -11,  -7,  -7,  -7, -19, -31,  -7, -11,  -7, -19,  -7
  25,     1,  -5,  -5,  -5,  -5,  -5,  -5, -21,  -5,  -5,  83,  -5, -17,  -5,  -5,  -5,  -5, -21,  -5, -13,  -5
  26,     1,  -5,  -5,  -9,  -5, -25,  -9, -21, -21,  -9,  -5, -13, -17, -17,  -5,  -5, -13,  -5,  79,  -9,  -5
  27,     1,  -3,  -7,  -3,  -7, -11,  -3,  -3,  -3,  -3,  -3,  -3,  -3, -11,  -3,  -3,  85,  -3,  -3,  -3,  -3
  28,     1, -19,  -7,  -7,  -7,  -7,  -7,  -7, -27,  -7,  -7,  -7,  -7, -31,  73,  -7,  -7, -11,  -7, -27,  -7
  29,     1,  87,  -5,  -5,  -5, -17,  -5,  -5,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  -5,  -5,  -9,  -5,  -5,  -5
  30,     1,  -6,  78, -30, -10,  -6,  -6, -14,  -6,  -6,  -6, -18,  -6, -14, -30, -10,  -6, -22,  -6,  -6,  -6
  31,     1,  80,  -4,  -4,  -4, -12,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4,  -4, -16,  -4,  -4, -20,  -4,  -4
  32,     1, -41, -29, -41,  -9, -13, -25,  -9, -41, -37,  63,  -9, -29, -37, -41,  -9, -37, -41, -21,  -9, -33
  33,     1,  -4,  -4,  -4,  -8, -12,  -4,  -4,  -4, -16,  -4,  -4,  -4,  92,  -4,  -4,  -4,  -4,  -4, -12, -16
  34,     1,  -9,  -9,  -9, -29,  -9,  -9,  -9, -33,  -9,  -9, -33, -17,  -9, -13,  -9, -17,  59, -41,  -9,  -9
