nExp, Time,  AVy,  A0x,  A0y,  A1x,  A1y,  A2x,  A2y,  A3x,  A3y,  A4x,  A4y 
   0,    0,   11,   63,    1,   25,   10,   48,   11,   57,    1,   43
   0,    1,    0,   11,   63,    0,   25,   10,   49,   11,   58,    1,   43
   0,    2,    6,   11,   63,    0,   25,   10,   49,   11,   59,    2,   43
   0,    3,   12,   11,   63,    1,   25,    9,   49,   11,   58,    1,   43
   0,    4,   18,   11,   63,    1,   25,    8,   49,   11,   58,    1,   44
   0,    5,   24,   11,   63,    0,   25,    8,   48,   11,   59,    1,   44
   0,    6,   30,   11,   62,    0,   25,    8,   49,   11,   60,    1,   44
   0,    7,   36,   11,   61,    0,   26,    8,   49,   11,   60,    0,   44
   0,    8,   42,   11,   60,    0,   27,    7,   49,   11,   60,    0,   43
   0,    9,   48,   10,   60,    1,   27,    6,   49,   11,   60,    0,   43
   0,   10,   54,    9,   60,    0,   27,    5,   49,   11,   61,    0,   44
   0,   11,   60,    9,   59,    0,   26,    6,   49,   10,   61,    0,   43
